inci_name,cas_no,function,substance
AMOMUM AROMATICUM FRUIT EXTRACT,91745-62-9,skin-conditioning,amomum aromaticum fruit extract
CITRUS TANKAN FRUIT WATER,,humectant,citrus tankan fruit water
HEXYLDECYL BENZOATE,163883-40-7,emollient; plasticiser; solvent,Hexyldecyl Benzoate
CAFFEINE CARBOXYLOYL SH-DECAPEPTIDE-1,,skin-conditioning,caffeine carboxyloyl sh-decapeptide-1
MENTHYL PCA,64519-44-4 / 68127-22-0,humectant; skin-conditioning,menthyl pca
DIMETHICONOL/STEARYL METHICONE/PHENYL TRIMETHICONE COPOLYMER,,skin-conditioning; stabilising,dimethiconol/stearyl methicone/phenyl trimethicone copolymer
KAEMPFERIA GALANGA RHIZOME/ROOT EXTRACT,92347-13-2,skin-conditioning,kaempferia galanga rhizome/root extract
MYROTHAMNUS FLABELLIFOLIA LEAF EXTRACT,,emollient,myrothamnus flabellifolia leaf extract
CARTHAMUS TINCTORIUS FLOWER WATER,223749-52-8,skin-conditioning,carthamus tinctorius flower water
PHASEOLUS COCCINEUS SEED EXTRACT,,skin-conditioning,phaseolus coccineus seed extract
CORIANDRUM SATIVUM CALLUS CULTURE CONDITIONED MEDIA,,antioxidant; skin-conditioning; skin-protecting,coriandrum sativum callus culture conditioned media
BETA-CAROTENE,7235-40-7,skin-conditioning,Neo-beta-carotene
MYRISTAMIDOBUTYL GUANIDINE ACETATE,,antistatic; skin-conditioning; surfactant,myristamidobutyl guanidine acetate
THERMUS THERMOPHILUS PUTATIVE ESTERASE,,skin-conditioning,thermus thermophilus putative esterase
BRASSICA ALBA SPROUT EXTRACT,,skin-conditioning,brassica alba sprout extract
ASPERGILLUS/HIPPOPHAE RHAMNOIDES SEED FERMENT FILTRATE,,antioxidant; humectant; skin-conditioning,aspergillus/hippophae rhamnoides seed ferment filtrate
ERYTHRODIOL,545-48-2,antioxidant; skin-conditioning,(+)-Erythrodiol
ACRYLATES/BEHENETH-25 METHACRYLATE/STEARETH-30 METHACRYLATE COPOLYMER,888492-33-9,film-forming,acrylates/beheneth-25 methacrylate/steareth-30 methacrylate copolymer
SODIUM ACRYLATE/ACROLEIN COPOLYMER,,binding; film-forming; viscosity-controlling,sodium acrylate/acrolein copolymer
DIHYDROLANOSTEROL,79-62-9,emulsifying; emulsion-stabilising; skin-conditioning,Dihydrolanosterol
DIPENTAERYTHRITYL HEXAHYDROXYSTEARATE,,emulsifying; skin-conditioning; smoothing; viscosity-controlling,dipentaerythrityl hexahydroxystearate
OXIDIZED STARCH ACETATE,68187-08-6,skin-conditioning,oxidized starch acetate
PAKAU WHITE CLAY,,humectant; skin-conditioning,pakau white clay
SAPINDUS MUKOROSSI PEEL EXTRACT,,skin-conditioning,sapindus mukorossi peel extract
MAGNESIUM GLUCOHEPTONATE,74347-32-3,skin-conditioning,Magnesium di(D-glycero-D-gulo-heptonate)
SACCHAROMYCES/SOYBEAN EXTRACT FILTRATE FERMENT,,antioxidant; skin-protecting,saccharomyces/soybean extract filtrate ferment
SH-DECAPEPTIDE-1 SH-POLYPEPTIDE-2,,skin-conditioning,sh-decapeptide-1 sh-polypeptide-2
FRAGARIA CHILOENSIS FRUIT EXTRACT,95193-64-9,skin-conditioning,fragaria chiloensis fruit extract
BETA-ALANYL HYDROXYPROLYLDIAMINOBUTYROYL BENZYLAMIDE,1694678-27-7,skin-conditioning,beta-alanyl hydroxyprolyldiaminobutyroyl benzylamide
TRIACONTANYL PVP,136445-69-7,film-forming; humectant; viscosity-controlling,triacontanyl pvp
ORMENIS MULTICAULIS FLOWER CERA,92202-02-3,emollient,ormenis multicaulis flower cera
HYDROGENATED SODIUM CYCLIC LYSOPHOSPHATIDIC ACID,,skin-conditioning,hydrogenated sodium cyclic lysophosphatidic acid
HEMA MALEATE,51978-15-5,film-forming,4-[2-(2-Methylprop-2-enoyloxy)ethoxy]-4-oxobut-2-enoic acid
CETYL DIMETHYLOCTANOATE,,emollient; skin-conditioning,cetyl dimethyloctanoate
HYDROXYETHYL ACRYLATE/SODIUM ACRYLOYLDIMETHYL TAURATE COPOLYMER,111286-86-3,emulsion-stabilising; viscosity-controlling,hydroxyethyl acrylate/sodium acryloyldimethyl taurate copolymer
METHOXY PEG-22/DODECYL GLYCOL COPOLYMER,88507-00-0,emulsion-stabilising; viscosity-controlling,1-(2-Methoxyethoxy)dodecan-2-OL
HYPERICUM PERFORATUM FLOWER/LEAF EXTRACT,84082-80-4,skin-conditioning,hypericum perforatum flower/leaf extract
HYDROLYZED BRASSICA NAPUS SEEDCAKE EXTRACT,,skin-conditioning,hydrolyzed brassica napus seedcake extract
TILIA EUROPAEA FLOWER/LEAF EXTRACT,,skin-conditioning,tilia europaea flower/leaf extract
ETHOXYDIGLYCOL ISOSTEARATE,,emollient,ethoxydiglycol isostearate
C9-11 ISOPARAFFIN,68551-16-6,solvent; viscosity-controlling,2-Methylnonane
R-MUSSEL OLIGOPEPTIDE-1,,skin-conditioning,r-mussel oligopeptide-1
SH-NONAPEPTIDE-1,,skin-conditioning,sh-nonapeptide-1
KURUMI KAKU EKISU,,skin-conditioning,kurumi kaku ekisu
SH-POLYPEPTIDE-41,,skin-conditioning,sh-polypeptide-41
SODIUM PCA METHYLSILANOL,99035-50-4,humectant; skin-conditioning,"sodium 5-oxo-L-prolinate, compound with methylsilanetriol (1:1)"
MEDICAGO SATIVA OIL UNSAPONIFIABLES,224557-89-5 / 84082-36-0,skin-conditioning,medicago sativa oil unsaponifiables
