inci_name,cas_no,function,substance
eugenol,97-53-0,denaturant; perfuming; tonic,eugenol
decahydro-4‚8,68855-38-9,perfuming,"2-(3-bromophenyl)-5-(2-naphthyl)-1,3,4-oxadiazole"
potassium phenoxide,100-67-4,antimicrobial,potassium phenol
pinus heldreichii bark extract,,antioxidant; bleaching; skin-protecting,pinus heldreichii bark extract
mentha citrata herb oil,85085-49-0,perfuming,mentha citrata herb oil
octahydro-methyl-methanonaphthalenone,41724-19-0,perfuming,"1,4-methanonaphthalen-6(2h)-one, octahydro-7-methyl-"
opopanax chironium resin steam-distilled oil,93384-32-8,perfuming,opopanax chironium resin steam-distilled oil
origanum cretium herb oil,91722-83-7,perfuming,origanum cretium herb oil
farnesal,19317-11-4,perfuming,farnesal
cymbopogon flexuosus herb oil,91844-92-7,perfuming,cymbopogon flexuosus herb oil
aniba rosaeodora root extract acetylated,90622-72-3,perfuming,aniba rosaeodora root extract acetylated
empetrum nigrum flower/fruit/leaf extract,,abrasive; antimicrobial; antioxidant; astringent; hair-conditioning; skin-conditioning,empetrum nigrum flower/fruit/leaf extract
methyl-methylcyclohexenyl-ethyl butyrate,2153-28-8,perfuming,"1,1'-ethylenebis(4,5-dihydro-2-heptadecyl-1h-imidazole)"
perilla frutescens flower oil,90082-61-4,perfuming,perilla frutescens flower oil
citrus paradisi,93763-95-2 / 72869-73-9,perfuming,citrus paradisi
bacillus/monascus/borago officinalis seed/soybean ferment filtrate,,antimicrobial; antioxidant; antiseborrhoeic; emollient; skin-conditioning,bacillus/monascus/borago officinalis seed/soybean ferment filtrate
draba alpina callus culture extract,,antimicrobial; antioxidant; astringent; skin-protecting,draba alpina callus culture extract
terpinyl isobutyrate,7774-65-4,perfuming,terpinyl isobutyrate
octanal,124-13-0,perfuming,octanal
cyclohexanone,108-94-1,perfuming; solvent,cyclohexanol
kluyveromyces/lactobacillus/pinus koraiensis seed oil ferment filtrate,,antioxidant; bleaching; skin-conditioning; skin-protecting,kluyveromyces/lactobacillus/pinus koraiensis seed oil ferment filtrate
2‚4-dimethyl-3-cyclohexene carboxaldehyde,68039-49-6,masking; perfuming; tonic,"2,4-dimethyl-3-cyclohexene carboxaldehyde"
ethyl neryl ether,22882-89-9,perfuming,"1-ethoxy-3,7-dimethylocta-2,6-diene"
octahydro-tetramethylcyclopropazulene,489-40-7,perfuming,3-fluorobenzamide
decyl anthranilate,18189-07-6,perfuming,"benzoic acid, 2-amino-, decyl ester"
2‚4-dimethylcyclohexylmethyl acetate,67634-22-4,perfuming,"cyclohexanemethanol, 2,4-dimethyl-, 1-acetate"
cis-3‚5,933-48-2,perfuming,"3,3,5-trimethylcyclohexanol"
vaccinium myrtillus fruit/leaf extract,84082-34-8,astringent; refreshing; skin-conditioning; tonic,vaccinium myrtillus fruit/leaf extract
ammonium phenolsulfonate,61886-53-1,antimicrobial; deodorant,ammonium phenolsulfonate
1-phenylpropyl acetate,2114-29-6,perfuming,1-phenylpropyl acetate
pelargonium radula leaf extract acetylated,94333-78-5,perfuming,pelargonium radula leaf extract acetylated
cis-3-hexenal,6789-80-6,perfuming,hex-3-enal
orostachys japonica callus culture conditioned media,,antimicrobial; antioxidant; hair-conditioning; humectant; skin-protecting,orostachys japonica callus culture conditioned media
ammonium iodide,12027-06-4,antimicrobial,ammonium iodide
mea o-phenylphenate,84145-04-0,preservative,"(1,1'-biphenyl)-2-ol, compound with 2-aminoethanol (1:1)"
tetrahydro-dimethylnaphthyl-propan-1-one,74499-60-8,perfuming,"1-(1,2,3,4-tetrahydro-4,4-dimethyl-1-naphthyl)propan-1-one"
dimethyl-3-butenyl isobutyrate,80118-06-5,perfuming,"1,3-dimethyl-3-butenyl 2-methylpropionate"
hypoxis hemerocallidea bulb extract,,antimicrobial; antioxidant,hypoxis hemerocallidea bulb extract
2-methyl-1‚5-dioxaspiroundecane,6413-26-9,perfuming,"2-methyl-1,5-dioxaspiro[5.5]undecane"
celastrus orbiculatus branch/leaf extract,,antioxidant; bleaching,celastrus orbiculatus branch/leaf extract
nicotinoyl peg-5 tocopheryl succinate,,antioxidant; antiseborrhoeic,nicotinoyl peg-5 tocopheryl succinate
dipropyl pyridinedicarboxylate,136-45-8,antimicrobial,dipropyl isocinchomeronate
acorus calamus root extract,84775-39-3,perfuming; skin-conditioning,acorus calamus root extract
propylparaben,94-13-3,perfuming; preservative,propylparaben
isodecylparaben,,antimicrobial,isodecylparaben
trans-3-methyl-5-phenyl-2-pentenenitrile,53243-60-0,perfuming,citrus nitrile
3-hexenyl acetate,1708-82-3,perfuming,hex-3-enyl acetate
ginkgo leaf terpenoids,90045-36-6,antimicrobial; antioxidant; hair-conditioning,cid 17388989
isopropyl 3-methylthiocrotonate,34365-79-2,perfuming,s-isopropyl 3-methylthiocrotonate
chrysanthemum sibiricum extract,,antimicrobial; skin-conditioning,chrysanthemum sibiricum extract
methoxyisopropanol,107-98-2,perfuming; solvent,1-methoxy-2-propanol
bacillus/monascus/pistacia vera fruit/soybean ferment filtrate,,antimicrobial; antioxidant; hair-conditioning; skin-conditioning,bacillus/monascus/pistacia vera fruit/soybean ferment filtrate
tetrahydro-methyl-propyl-pyran-4-olacetate,131766-73-9,perfuming,4-methyl-2-propyloxan-4-ol acetate
cyclohexyl cyclopenteneacetate,65405-69-8,perfuming,"2-cyclopentene-1-acetic acid, cyclohexyl ester"
hexahydro-methanoindene-5-ylidene-2-butanol,105304-56-1,perfuming,"2-butanol, 4-(3,3a,4,6,7,7a-hexahydro-4,7-methano-5h-inden-5-ylidene)-"
amidinoproline,35404-57-0,humectant; masking; perfuming; skin-conditioning,1-carbamimidoylproline
teupolioside,143617-02-1,antioxidant; bleaching; chelating; skin-protecting,"[4-[4,5-dihydroxy-6-methyl-3-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-2-yl]oxy-6-[2-(3,4-dihydroxyphenyl)ethoxy]-5-hydroxy-2-(hydroxymethyl)oxan-3-yl] 3-(3,4-dihydroxyphenyl)prop-2-enoate"
vitex negundo flower/leaf/seed oil,,antioxidant; antiseborrhoeic; hair-dyeing,vitex negundo flower/leaf/seed oil
dimethylbicyclohept-2-ylethanone,42370-07-0,perfuming,"1-(3,3-dimethylbicyclo(2.2.1)hept-2-yl)ethane-1-one"
salix blinii leaf extract,,antioxidant; bleaching; emollient; skin-conditioning; skin-protecting,salix blinii leaf extract
trans-2-octenal,2548-87-0,perfuming,oct-2-enal
eugenia caryophyllus leaf extract,84961-50-2,humectant; perfuming; skin-conditioning,eugenia caryophyllus leaf extract
c12-18 fatty acids methyl esters,68937-84-8,perfuming,methyl pentadecanoate
3‚5,67801-32-5,perfuming,"1-(3,5,6-trimethylcyclohex-3-en-1-yl)pent-1-en-3-one"
octadecane,593-45-3,emollient; perfuming; skin-conditioning; solvent,octadecane
8-methoxy-2‚6-dimethyloct-2-ene,55915-70-3,perfuming,"4h-pyrido(1,2-a)pyrimidine-3-carboxylic acid, 7-methyl-4-oxo-, ethyl ester"
camellia sinensis callus culture extract,84650-60-2,perfuming; skin-conditioning,phenol
4-methyl-4-phenyl-2-pentanone,7403-42-1,perfuming,vetikon
methylseleno carboxyethylglutamine,,antidandruff; antimicrobial; antioxidant; hair-conditioning; skin-conditioning; skin-protecting,methylseleno carboxyethylglutamine
isopropylmethylhexenal,35158-25-9,perfuming,2-isopropyl-5-methyl-2-hexenal
ethyl phenoxyacetate,2555-49-9,perfuming,"acetic acid, 2-phenoxy-, ethyl ester"
5-methylfuranone,591-12-8,perfuming,alpha-angelica lactone
chloroacetic acid,79-11-8,keratolytic,chloroacetic acid
trimethyl-propylcyclohexanepropanol,70788-30-6,perfuming,"cyclohexanepropanol, 2,2,6-trimethyl-alpha-propyl-"
3‚4-dihydro-7-methylnaphthalenone,22009-37-6,perfuming,7-methyltetralone
methylisothiazolinone,2682-20-4,preservative,5-chloro-2-methyl-4-isothiazolin-3-one
tripeptide-48,,antiseborrhoeic; skin-protecting,tripeptide-48
iris pallida root oil,90045-90-2,perfuming,iris pallida root oil
methyl benzodioxepinone,28940-11-6,masking; perfuming,methyl benzodioxepinone
maackia fauriei stem extract,,antimicrobial; antioxidant; hair-conditioning; skin-conditioning,maackia fauriei stem extract
linalyl propionate,144-39-8,perfuming,linalyl propionate
heptanal diethyl acetal,688-82-4,perfuming,"5-ethyl-5-hexyl-2,4,6(1h,3h,5h)-pyrimidinetrione"
3-tert-butyl-2-methoxypyrazine,24168-70-5,perfuming,9-methyladenine
methyl formylaminobenzoate,41270-80-8,perfuming,pentachlorophenyl propyl ether
lapyrium chloride,6272-74-8,antimicrobial; antistatic,lapyrium chloride
empetrum nigrum leaf extract,,antimicrobial; skin-conditioning,empetrum nigrum leaf extract
glutaral,111-30-8,preservative,glutaraldehyde
dimethyl malonate,108-59-8,perfuming,dimethyl malonate
carthamus tinctorius callus extract,223749-52-8,antimicrobial; antioxidant; hair-conditioning; humectant; skin-conditioning; skin-protecting,carthamus tinctorius callus extract
ethyl anisate,94-30-4,perfuming,ethyl anisate
ethyl pelargonate,123-29-5,emollient; perfuming,ethyl nonanoate
aesculus chinensis extract,,astringent; tonic,aesculus chinensis extract
melaleuca alternifolia leaf extract,85085-48-9,perfuming; skin-conditioning,melaleuca alternifolia leaf extract
aluminum glycinate,13682-92-3 / 41354-48-7,astringent; buffering,aluminum glycinate
methyl alpha-ionone isomers,1335-46-2,perfuming,"5-(2,6,6-trimethyl-2-cyclohexen-1-yl)-4-penten-3-one"
cis-3-hexenyl 2-methylbutyrate,53398-85-9,perfuming,3-hexenyl 2-methylbutyrate
cis,63449-64-9,perfuming,"3-hexene, 1,1'-[ethylidenebis(oxy)]bis-, (3z,3'z)-"
hydroxybenzaldehyde,123-08-0,masking; perfuming,4-hydroxybenzaldehyde
methyl propionate,554-12-1,perfuming,methyl propionate
mentha piperita american herb oil,98306-02-6,perfuming,mentha piperita american herb oil
ethylhexyl isobutyrate,35061-61-1,perfuming,aziridine-2-carbonitrile
sd alcohol 23-a,,astringent; solvent; viscosity-controlling,sd alcohol 23-a
ethylhexanol,104-76-7,perfuming,2-ethylhexanol
potassium butylparaben,38566-94-8,preservative,anazolene sodium
isopropylbicyclooctenyl methyl ketone,68259-33-6,perfuming,"ethanone, 1-(5(or 6)-methyl-7(or 8)-(1-methylethyl)bicyclo(2.2.2)oct-5-en-2-yl)-"
schinus terebinthifolia seed extract,,astringent; skin-conditioning,schinus terebinthifolia seed extract
sambucus sieboldiana leaf/stem extract,,antioxidant; astringent; emollient,sambucus sieboldiana leaf/stem extract
tetrahydromugol,41678-36-8,perfuming,myrcenol
artemisia pallens flower extract,91844-86-9,perfuming,artemisia pallens flower extract
diacetylcurcumin,19697-86-0,antioxidant; bleaching; skin-conditioning; skin-protecting; uv-absorber,"1,7-bis(4-(acetyloxy)-3-methoxyphenyl)-1,6-heptadiene-3,5-dione"
peg-5 dedm hydantoin oleate,,antimicrobial,peg-5 dedm hydantoin oleate
ammonium alum,7784-25-0,antiperspirant; astringent,"sulfuric acid,aluminum ammonium salt(2:1:1)"
citrus aurantifolia peel oil distilled,90063-52-8,perfuming,citrus aurantifolia peel oil distilled
sd alcohol 23-h,,astringent; solvent; viscosity-controlling,sd alcohol 23-h
kluyveromyces/lactobacillus/safflower seed oil ferment filtrate,,antioxidant; antiseborrhoeic; bleaching; hair-conditioning; skin-conditioning; skin-protecting,kluyveromyces/lactobacillus/safflower seed oil ferment filtrate
ethyl propionate,105-37-3,perfuming,4-chlorophenol
apium graveolens rapaccum seed oil,89997-34-2,perfuming,apium graveolens rapaccum seed oil
decahydro-beta-naphthyl formate,10519-12-7,perfuming,"2-naphthalenol, decahydro-, 2-formate"
dimethyl-4-hexenyl-dihydrofuranone,61099-53-4,perfuming,citronellene lactone
citrus aurantium bergamia fruit oil,8007-75-8 / 68648-33-9,masking; perfuming,citrus aurantium bergamia fruit oil
trans-trimethylundecadienal,54082-68-7,perfuming,"2,6,10-trimethylundeca-5,9-dienal"
piperlonguminine,5950-12-9,antimicrobial; antioxidant; skin-conditioning,2-methylnorharman
5-melozol acetate,64001-15-6,perfuming,"pseudourea, 2-decyl-1,3-dimethyl-2-thio-, hydriodide"
3‚4-dihydro-5-methylnaphthalenone,6939-35-1,perfuming,5-methoxytetralone
l-beta-pinene,18172-67-3,perfuming,beta-pinene
trans-trimethyldodecatetraenal,17909-77-2,perfuming,"2,6,9,11-dodecatetraenal, 2,6,10-trimethyl-"
isopropyl tiglate,1733-25-1,perfuming,npc17697
isobornyl acetate,125-12-2,masking; perfuming,"acetic acid 1,7,7-trimethyl-bicyclo(2.2.1)hept-2-yl ester"
usnea barbata callus extract,,antimicrobial; antioxidant; humectant; skin-conditioning,usnea barbata callus extract
phenethyl methacrylate,3683-12-3,perfuming,2-phenylethyl methacrylate
steartrimonium bromide,1120-02-1,antistatic; hair-conditioning; preservative,octadecyltrimethylammonium bromide
methyl ethylacetoacetate,51756-08-2,perfuming,"butanoic acid, 2-ethyl-3-oxo-, methyl ester"
isopropyl-alpha-methylcinnamaldehyde,831-97-0,perfuming,2-methyl-3-(4-propan-2-ylphenyl)prop-2-enal
diacetyl,431-03-8,perfuming,butanedione
dendropanax morbiferus leaf oil,,antioxidant; antiseborrhoeic,dendropanax morbiferus leaf oil
isopropyl-methylhexenyl acetate,74912-37-1,perfuming,2-isopropyl-5-methylhex-4-enyl acetate
myristalkonium saccharinate,23661-75-8,preservative,myristalkonium saccharinate
hydrolyzed wheat bran extract,,bleaching,hydrolyzed wheat bran extract
3-ethylpyridine,536-78-7,perfuming,3-ethylpyridine
ar-ethylphenylbutyraldehyde,68228-11-5,perfuming,"acetamide, n-(5-(ethyl(phenylmethyl)amino)-2-(2-(5-(ethylthio)-1,3,4-thiadiazol-2-yl)diazenyl)phenyl)-"
glycine soja oil,8001-22-7,emollient; perfuming; skin-conditioning,glycine soja oil
eucalyptus globulus leaf/twig oil,84625-32-1,masking; perfuming,eucalyptus globulus leaf/twig oil
p-cresyl 3-methylcrotonate,24700-20-7,perfuming,4-methylphenyl 3-methyl-2-butenoate
aluminum chloride,7446-70-0,antiperspirant; astringent; deodorant,aluminum chloride
isopropylcyclohexene-carboxylic acid,71298-42-5,perfuming,4-(1-methylethyl)-3-cyclohexene-1-carboxylic acid
dichlorophene,97-23-4,antimicrobial; deodorant,dichlorophen
verbena officinalis leaf absolute,84961-67-1,perfuming,"n-[n-[2-benzyl-3-phenyl-2-(1,3,6-triphenylcarbazol-9-yl)pent-3-enyl]-c-phenylcarbonimidoyl]-n'-methylbenzenecarboximidamide"
baccharis dracunculifolia herb extract,94406-01-6,perfuming,baccharis dracunculifolia herb extract
methyl-methyloxocyclohexylethyl ethanethioate,57074-34-7,perfuming,"ethanethioic acid, s-1-methyl-1-(methyloxocyclohexyl)ethyl ester"
cedrela odorata wood extract,93062-64-7,perfuming,cedrela odorata wood extract
tetrahydronaphthalene-1-ethanol,68480-12-6,perfuming,"1,2,3,4-tetrahydro-1-naphthaleneethanol"
isatis tinctoria root extract,,astringent; skin-protecting,isatis tinctoria root extract
dictyophora indusiata fruiting body extract,,antimicrobial; humectant; skin-conditioning,dictyophora indusiata fruiting body extract
aluminum zirconium tetrachlorohydrex gly,134910-86-4,antiperspirant; astringent; deodorant,aluminum
commiphora gileadensis oil,,antimicrobial; antioxidant; astringent; uv-filter,commiphora gileadensis oil
chloroxylenol,88-04-0 / 1321-23-9,antimicrobial; deodorant; preservative,chloroxylenol
rhodinyl phenylacetate,10486-14-3,perfuming,rhodinyl phenyl acetate
prunus amygdalus amara kernel cold pressed oil,90320-35-7,perfuming,prunus amygdalus amara kernel cold pressed oil
hexahydro-dimethyl-methano-inden-5-ol,94248-21-2,perfuming,hexahydro-dimethyl-methano-inden-5-ol
dimethylcyclohexyl 3-butenyl ketone,56973-87-6,perfuming,"1-(3,5,5-trimethyl-1-cyclohexen-1-yl)pent-4-en-1-one"
tetramethylhexanal,68391-29-7,perfuming,"1,3-naphthalenedisulfonic acid, 7-(2-(4-(2-(4-amino-2-methylphenyl)diazenyl)phenyl)diazenyl)-, sodium salt (1:2)"
decyl isovalerate,72928-48-4,perfuming,(butylnitrosoamino)acetaldehyde
tetragonia tetragonoides extract,91723-03-4,antimicrobial; astringent; skin-conditioning,tetragonia tetragonoides extract
kazachstania/prunus mume fruit extract ferment filtrate,,bleaching; skin-conditioning,kazachstania/prunus mume fruit extract ferment filtrate
mixed ionones,14901-07-6 / 6901-97-9 / 8013-90-9,masking; perfuming,mixed ionones
cardiospermum halicacabum seed extract,89958-27-0,antidandruff; antimicrobial; antiseborrhoeic; skin-conditioning,cardiospermum halicacabum seed extract
angelica archangelica leaf oil,84775-41-7 / 8015-64-3,perfuming,angelica archangelica leaf oil
cryptococcus/humus ferment filtrate,,astringent; emollient; hair-conditioning; skin-conditioning,cryptococcus/humus ferment filtrate
citrus aurantium peel oil expressed,72968-50-4,perfuming,citrus aurantium peel oil expressed
nicotinoyl sh-nonapeptide-3,,bleaching; humectant; nail-conditioning; skin-protecting,nicotinoyl sh-nonapeptide-3
mandelic acid,90-64-2,antimicrobial,mandelic acid
2‚4,67634-05-3,perfuming,"cyclohexanemethanol, 2,4,6-trimethyl-, 1-acetate"
nicotinoyl s-allylcysteine,,bleaching,nicotinoyl s-allylcysteine
phenethyl methyl ethyl carbinyl acetate,72007-81-9,perfuming,1-ethyl-1-methyl-3-phenylpropyl acetate
dihydrocarveol,619-01-2,perfuming,2-methyl-5-(1-methylethenyl)cyclohexanol
2-oleamido-1‚3,1319128-52-3,antidandruff; antiseborrhoeic; hair-conditioning; skin-conditioning,"2-oleamido-1,3,4-octadecatriyl prolinate"
methylenedioxyphenyl dihydroxybenzamide,,antioxidant; bleaching; skin-protecting,methylenedioxyphenyl dihydroxybenzamide
betula pendula twig extract,85940-29-0,perfuming,betula pendula twig extract
myrcenyl acetate,1118-39-4,perfuming,myrcenylacetate
tetrahydromyrcenyl acetate,68480-08-0,perfuming,"1h-imidazolium, 1-(2-((2-cyanoethyl)(1-oxooctadecyl)amino)ethyl)-1-ethyl-2-heptadecyl-4,5-dihydro-, ethyl sulfate (1:1)"
peumus boldus leaf oil,84649-96-7,antidandruff; perfuming,peumus boldus leaf oil
resveratryl tricaprylate,,antioxidant; bleaching; skin-conditioning,resveratryl tricaprylate
6-diethoxymethyl-hexahydro-methano-1h-indene,67633-93-6,perfuming,"4,7-methano-1h-indene, 6-(diethoxymethyl)-3a,4,5,6,7,7a-hexahydro-"
isopropyl-methylphenetole,4732-13-2,perfuming,carvacryl ethyl ether
p-isopropylphenyl methyl ketone,645-13-6,perfuming,4-isopropylacetophenone
trimethylbicyclo-4-hepten-3-ylmethanol,15103-32-9,perfuming,delavuridine
mentha viridis leaf oil,84696-51-5 / 8008-79-5,astringent; masking; skin-conditioning,mentha viridis leaf oil
trimethyl-6-thiabicyclooctane,68398-18-5,perfuming,"benzoic acid, 2-((3,5,5-trimethylhexylidene)amino)-, methyl ester"
indole,120-72-9,perfuming,indole
citrus aurantium leaf oil,72968-50-4,perfuming,citrus aurantium leaf oil
potassium o-phenylphenate,13707-65-8,preservative,potassium biphenyl-2-carboxylate
2‚4-dimethyl cyclohexenecarbonitrile,66848-41-7,perfuming,"3-cyclohexene-1-carbonitrile, 2,4-dimethyl-"
3-butyl-4-methylphenyl methyl ketone,67663-03-0,perfuming,"ethanone, 1-(3-butyl-4-methylphenyl)-"
ethyl citral,41448-29-7,perfuming,"3,7-dimethylnona-2,6-dienal"
geranial,141-27-5,perfuming,"3,7-dimethylocta-2,6-dienal"
aluminum bromohydrate,39431-98-6,antiperspirant; astringent; deodorant,dialuminum bromide pentahydroxide
cinnamomum cassia bark/syzgium aromaticum bud/rosmarinus officinalis leaf/thymus vulgaris leaf water,,antimicrobial; antioxidant; antiplaque; antiseborrhoeic,cinnamomum cassia bark/syzgium aromaticum bud/rosmarinus officinalis leaf/thymus vulgaris leaf water
2-ethylbutyl cyclopent-2-eneacetate,94278-39-4,perfuming,"2-cyclopentene-1-acetic acid, 2-ethylbutyl ester"
benzyl formate,104-57-4,perfuming,benzyl formate
ethyl-3aalpha,80623-07-0,perfuming,"ethyl (1r,2r,6r,7s)-tricyclo[5.2.1.02,6]decane-2-carboxylate"
oxacyclohexadecenone,34902-57-3,masking; perfuming,pentadecen-15-olide
polygonum multiflorum root water,,flavouring; masking; perfuming; skin-conditioning,polygonum multiflorum root water
tris(n-hydroxyethyl) hexahydrotriazine,4719-04-4,preservative,"3,4-(methylenedioxy)phenylacetonitrile"
cymbopogon nardus herb oil,89998-15-2,perfuming,cymbopogon nardus herb oil
amyl salicylate,2050-08-0,perfuming; skin-conditioning,amyl salicylate
hexenyldihydromethylfuranone,70851-61-5,perfuming,5-hex-3-enyl-5-methyloxolan-2-one
methyl palmitate,112-39-0,emollient; perfuming; skin-conditioning,methyl palmitate
carum petroselinum herb extract,84012-33-9,perfuming,carum petroselinum herb extract
methylthiazolyl-ethanol,137-00-8,perfuming,4-methyl-5-(2-hydroxyethyl)thiazole
daucus carota sativa leaf/stem extract,,antimicrobial; deodorant; skin-conditioning,daucus carota sativa leaf/stem extract
isopropyl-methylcyclohexyl tiglate,67801-23-4,perfuming,5-methyl-2-(propan-2-yl)cyclohexyl 2-methylbut-2-enoate
alpha-ionone,127-41-3,perfuming,ionone
sodium propionate,137-40-6,preservative,propionic acid
tetramethylnona-6‚8-dien-3-one,81782-89-0,perfuming,cid 174247
collinsonia canadensis extract,89997-84-2 / 8006-46-0,astringent,collinsonia canadensis extract
cyclohexyl phenethyl ether,80858-47-5,perfuming,7-propyl spirolactone
betula papyrifera bark extract,,antimicrobial; antioxidant; bleaching; skin-conditioning; skin-protecting,betula papyrifera bark extract
2-methyl-4-(2‚2,28219-60-5,perfuming,"2-buten-1-ol, 2-methyl-4-(2,2,3-trimethyl-3-cyclopenten-1-yl)-"
myrocarpus fastigiatus wood oil,91722-93-9,perfuming,myrocarpus fastigiatus wood oil
civetone,542-46-1,perfuming,9-cycloheptadecen-1-one
potassium propionate,327-62-8,preservative,potassium propionate
smilax china fruit extract,90131-09-2,antimicrobial; antioxidant; astringent; emollient; hair-conditioning,smilax china fruit extract
chrysanthellum indicum flower water,,antimicrobial; antioxidant; astringent; emollient; skin-conditioning; skin-protecting,chrysanthellum indicum flower water
salvia lavandulifolia herb oil,90106-49-3,perfuming,salvia lavandulifolia herb oil
citrus species peel oil expressed,94266-47-4,perfuming,citrus species peel oil expressed
levulinic acid,123-76-2,perfuming; skin-conditioning,"pentanoic acid, 4-oxo-, calcium salt"
amyris balsamifera oil acetylated,83863-22-3,perfuming,amyris balsamifera oil acetylated
peg oleate,9004-98-2 -generic-,perfuming,peg oleate
pelargonium graveolens leaf extract saponified,94333-77-4,perfuming,pelargonium graveolens leaf extract saponified
dimethyl-3-cyclohexene-1-carbaldehyde,27939-60-2,perfuming,"3,5-dimethyl-3-cyclohexene carboxaldehyde"
artemisia pallens herb oil,91844-86-9,perfuming,artemisia pallens herb oil
dimethyl-7-octene-1‚6-diol,22460-95-3,perfuming,"7-octene-1,6-diol, 3,7-dimethyl-"
hydrolyzed walnut extract,,antioxidant; astringent; hair-conditioning; skin-conditioning,hydrolyzed walnut extract
amyl valerate,2173-56-0,perfuming,pentyl valerate
n-heptadecane,629-78-7,perfuming,heptadecane
magnolia glauca flower water,93062-76-1,masking; perfuming,magnolia glauca flower water
methyl trimethylhexylidene-aminobenzoate,67801-42-7,perfuming,"benzoic acid, 2-((3,5,5-trimethylhexylidene)amino)-, methyl ester"
kalanchoe spathulata extract,,antioxidant; bleaching; skin-conditioning,kalanchoe spathulata extract
sd alcohol 38-b,,astringent; solvent; viscosity-controlling,sd alcohol 38-b
ferula galbaniflua gum,93165-40-3,perfuming,ferula galbaniflua gum
sodium silver thioctoyl hyaluronate,,antimicrobial; antiseborrhoeic; skin-conditioning,sodium silver thioctoyl hyaluronate
tetrahydro-trimethyl-vinyl-pyran,13837-56-4,perfuming,"2,6,6-trimethyl-2-vinyltetrahydropyran"
magnesium propionate,557-27-7,preservative,magnesium propionate
garcinia cambogia peel extract,90045-23-1,astringent,"garcinia cambogia, ext."
abies pectinata needle extract,92128-34-2,perfuming,abies pectinata needle extract
tranexamoyl dipeptide-22,,bleaching,tranexamoyl dipeptide-22
cyclododecanal dimethyl acetal,950-33-4,perfuming,"1,1-dimethoxycyclododecane"
potassium ethylparaben,36457-19-9,preservative,potassium ethylparaben
hexyl salicylate hexyl ether,111222-71-0,bleaching,hexyl salicylate hexyl ether
methyl nonylenate,111-79-5,perfuming,"nonenoic acid, methyl ester"
isopropyl myristate,110-27-0,binding; emollient; masking; perfuming,isopropyl myristate
citrus unshiu/citrus reticulata/citrus iyo fruit water,,masking; perfuming,citrus unshiu/citrus reticulata/citrus iyo fruit water
artemisia vulgaris herb extract,84775-45-1,perfuming,artemisia vulgaris herb extract
octyl 2-butenoate,22874-79-9,perfuming,"2-butenoic acid, octyl ester"
linalylformate,115-99-1,perfuming,linalool formate
ammonium acrylates/vinyl imidazole copolymer,,antimicrobial,ammonium acrylates/vinyl imidazole copolymer
capryloyl sarcosine,2421-32-1,antiseborrhoeic; preservative,capryloyl sarcosine
labisia pumila leaf/root extract,,antioxidant; astringent; skin-protecting,labisia pumila leaf/root extract
tetrahydro-methyl-methylpropyl)-pyran-4-ol,63500-71-0,perfuming,tetrahydro-4-methyl-2-(2-methylpropyl)-2h-pyran-4-ol
cedrus atlantica bark oil,92201-55-3 / 8000-27-9,masking; perfuming; skin-conditioning,cedrus atlantica bark oil
laurus nobilis flower/leaf/stem water,84603-73-6,masking; perfuming,laurus nobilis flower/leaf/stem water
betula alba juice,84012-15-7,astringent; tonic,betula alba juice
dimethylol glycol,3586-55-8,antimicrobial,dimethylol glycol
thuja occidentalis stem extract,90131-58-1,perfuming,thuja occidentalis stem extract
dimethyl-5-hexenyl acetate,38228-51-2,perfuming,"naphtho(2,3-b)thiophene"
5-ethylidenebicyclohept-2-yl propionate,73347-77-0,perfuming,5-ethylidenebicyclo(2.2.1)hept-2-yl propionate
anethum graveolens seed oil,90028-03-8 / 8006-75-5,perfuming,anethum graveolens seed oil
malus baccata callus culture extract,,antimicrobial; antioxidant; skin-conditioning; skin-protecting,malus baccata callus culture extract
2‚6-dimethylheptanol,13254-34-7,perfuming,"2,6-dimethyl-2-heptanol"
geranyl butyrate,106-29-6,perfuming,"3,7-dimethyl-2,6-octadienyl butyrate"
capryloyl tetrapeptide-60 norleucyl tyrosyl d-methionine,,antimicrobial; antioxidant; antiseborrhoeic; skin-conditioning,capryloyl tetrapeptide-60 norleucyl tyrosyl d-methionine
8-isopropyl-6-methylbicyclooctenyl-dioxolane,68901-32-6,perfuming,"1,3-dioxolane, 2-[6-methyl-8-(1-methylethyl)bicyclo[2.2.2]oct-5-en-2-yl]-"
mirabilis jalapa flower extract,91722-88-2,antimicrobial; antioxidant; astringent; emollient; skin-protecting,mirabilis jalapa flower extract
m-cresol,108-39-4,antimicrobial; perfuming,m-cresol
phenethyl anthranilate,133-18-6,perfuming,phenethyl anthranilate
pelargonic acid,112-05-0,cleansing; emulsifying; masking; perfuming,nonanoic acid
myroxylon balsamum balsam extract,9000-64-0,perfuming,myroxylon balsamum balsam extract
linalyl benzoate,126-64-7,perfuming,linalyl benzoate
cinnamyl phenylacetate,7492-65-1,perfuming,3-phenylprop-2-en-1-yl phenylacetate
methoxy-tetramethyl-cyclohexenyl methyl ketone,16556-48-2,perfuming,"ethanone, 1-(4-methoxy-2,2,6,6-tetramethyl-3-cyclohexen-1-yl)-"
2‚6-dimethylpyrazine,108-50-9,perfuming,"2,6-dimethylpyrazine"
