inci_name,cas_no,function
PRUNUS AMYGDALUS DULCIS SEEDCOAT POWDER,90320-37-9,en:abrasive
C23-43 ACID PENTAERYTHRITOL TETRAESTER,95465-86-4,"en:binding, en:emollient, en:film-forming, en:skin-conditioning, en:viscosity-controlling"
PALMITOYL PENTAPEPTIDE-4,,en:skin-conditioning
COLEUS FORSKOHLII ROOT OIL,,"en:emollient, en:masking, en:skin-conditioning"
TRIGONELLA FOENUM-GRAECUM SPROUT JUICE,,en:skin-conditioning
QUERCUS ACUTISSIMA LEAF POWDER,,
POLOXAMINE 707,11111-34-5,"en:emulsifying, en:surfactant"
OURICURY CERA,68917-70-4,"en:binding, en:viscosity-controlling"
ACRYLAMIDE/AMMONIUM ACRYLATE COPOLYMER,26100-47-0,"en:binding, en:film-forming, en:hair-fixing"
LOTUS MARITIMUS FLOWER/LEAF/STEM EXTRACT,,en:emollient
DIPENTAERYTHRITYL HEXABEHENATE/BENZOATE/ETHYLHEXANOATE,,en:emollient
PINUS CEMBRA TWIG LEAF OIL,92202-04-5,en:perfuming
PROPYLENE GLYCOL CETETH-3 PROPIONATE,,"en:emollient, en:skin-conditioning"
R-(SH-POLYPEPTIDE-92 SH-POLYPEPTIDE-102),,en:skin-protecting
RH-POLYPEPTIDE-51,,"en:antioxidant, en:skin-protecting"
CITRONELLAL DIMETHYL ACETAL,923-69-3,en:perfuming
2-O-CRESYLETHANOL,19819-98-8,en:perfuming
CUCUMIS SATIVUS OIL,70955-25-8 / 89998-01-6,"en:emollient, en:skin-conditioning"
PALMITAMIDOBUTYL GUANIDINE ACETATE,,"en:antistatic, en:emulsifying, en:hair-conditioning"
DISTYLIUM RACEMOSUM TWIG EXTRACT,,en:skin-conditioning
UNDECYL RHAMNOSIDE,,en:antiseborrhoeic
ISOPROPYL ACETATE,108-21-4,en:solvent
ISODECYL NEOPENTANOATE,60209-82-7,"en:emollient, en:skin-conditioning"
Ethylene\/acrylate copolymer,,
STEVIOSIDE,57817-89-7,"en:masking, en:oral-care"
TEA-LAURATE/MYRISTATE,,"en:cleansing, en:emulsifying, en:surfactant"
RAPESEEDAMIDOPROPYL ETHYLDIMONIUM ETHOSULFATE,94552-41-7,en:antistatic
CETYL KOMBO BUTTERATE,,"en:emollient, en:skin-conditioning, en:skin-protecting, en:viscosity-controlling"
COCOBETAINAMIDO AMPHOPROPIONATE,100085-64-1,"en:cleansing, en:foam-boosting, en:hair-conditioning, en:hydrotrope, en:surfactant"
PYRIDOXINE SALICYLATE,,"en:antioxidant, en:astringent, en:skin-conditioning"
ETHYL O-ANISATE,7335-26-4,en:perfuming
KIDACHI ALOE EKISU,,"en:emollient, en:skin-conditioning"
JUNIPERUS MEXICANA OIL,68990-83-0,en:masking
NITROUS OXIDE,10024-97-2,en:propellant
ANISOLE,100-66-3,en:perfuming
C12-15 PARETH-8 PHOSPHATE,68071-35-2,"en:cleansing, en:emulsifying, en:surfactant"
ACETYL GALACTOSAMINE,1811-31-0,"en:humectant, en:skin-conditioning"
DILINOLEIC ACID/BUTANEDIOL COPOLYMER,,"en:film-forming, en:plasticiser"
SCHIZOPHYLLUM COMMUNE/CITRUS UNSHIU PEEL EXTRACT FERMENT FILTRATE,,"en:antioxidant, en:humectant, en:skin-conditioning"
PELARGONIUM ROSEUM LEAF EXTRACT,90082-55-6,en:perfuming
KAZACHSTANIA/CITRUS JUNOS FRUIT EXTRACT FERMENT FILTRATE,,"en:bleaching, en:skin-conditioning"
DISODIUM PHENYL DIBENZIMIDAZOLE TETRASULFONATE,180898-37-7,"en:uv-absorber, en:uv-filter"
GLYCINE MAX FIBER,,en:skin-conditioning
GLYCINE MAX PHYTOPLACENTA CONDITIONED MEDIA,,"en:hair-conditioning, en:skin-conditioning, en:skin-protecting"
SYMPHYTUM OFFICINALE LEAF POWDER,84696-05-9,en:abrasive
KJELLMANIELLA CRASSIFOLIA POWDER,,"en:humectant, en:skin-conditioning"
SESAME OIL POLYGLYCERYL-6 ESTERS,,"en:emollient, en:emulsifying, en:skin-conditioning, en:surfactant"
PHYLLOSTACHYS BAMBUSOIDES JUICE,,en:skin-conditioning
OCTADECENYL-AMMONIUM FLUORIDE,,"en:antiplaque, en:oral-care"
PUMPKIN FRUIT EXTRACT BETA-GLUCAN,,"en:abrasive, en:antidandruff, en:skin-conditioning"
ARGILLA,12199-37-0,"en:abrasive, en:bulking, en:humectant"
NYMPHAEA COERULEA LEAF CELL EXTRACT,,en:skin-conditioning
CETEARYL PHOSPHATE,90506-73-3,en:skin-conditioning
SORBITAN TRIOLEATE,26266-58-0,en:emulsifying
OSTREA SHELL EXTRACT,94465-79-9,
POLYURETHANE-73,,"en:film-forming, en:viscosity-controlling"
MANGANESE OXIDE,11129-60-5,en:uv-absorber
DEFINED CELL CULTURE MEDIA 16,,en:skin-conditioning
HEPTYLIDENE DIACETATE,56438-09-6,en:perfuming
POLYURETHANE-45,,en:film-forming
ROSA ALBA CALLUS EXTRACT,,en:skin-protecting
EMILIANIA HUXLEYI EXTRACT,,en:skin-conditioning
C12-15 PARETH-7 CARBOXYLIC ACID,88497-58-9,"en:cleansing, en:surfactant"
TRIPEPTIDE-41,,en:skin-conditioning
CHENOPODIUM QUINOA SEED EXTRACT,,en:skin-conditioning
ASTRAGALUS SINICUS SEED EXTRACT,,en:skin-conditioning
SARGACHROMANOL D,,en:skin-conditioning
ETHYL 3-HYDROXYHEXANOATE,2305-25-1,en:perfuming
STEARYL AMINOPROPYL METHICONE,110720-64-4,"en:emollient, en:hair-conditioning"
DISODIUM PALMITOLEAMIDO PEG-2 SULFOSUCCINATE,688006-19-1,"en:cleansing, en:foam-boosting, en:hydrotrope, en:surfactant"
VERBASCUM DENSIFLORUM FLOWER/STEM EXTRACT,,en:skin-conditioning
OCTAPEPTIDE-12 SH-POLYPEPTIDE-56 TRIPEPTIDE-44 SH-POLYPEPTIDE-1,,"en:skin-conditioning, en:skin-protecting"
BIS-HYDROXYETHOXYPROPYL DIMETHICONE/IPDI/SORBITAN STEARATE COPOLYMER,668988-06-5,en:film-forming
FICUS BENGHALENSIS BARK/BUD EXTRACT,,en:preservative
CITRUS PARADISI M. PEEL OIL EXPRESSED,90045-43-5,en:perfuming
C24-30 OLEFIN,,"en:skin-conditioning, en:viscosity-controlling"
OZONIZED JOJOBA OIL,,en:emollient
CI 47000,8003-22-3,en:cosmetic-colorant
YUCCA SCHIDIGERA ROOT EXTRACT,90147-57-2 -Generic- / 223749-05-1,en:skin-conditioning
OXOTHIAZOLIDINE,2682-49-7,en:skin-protecting
PENTYLCYCLOPROPYLMETHYLENE CYCLOPROPYLOCTANOIC ACID,,en:skin-conditioning
TEA-LAURAMINOPROPIONATE,14171-00-7,"en:antistatic, en:cleansing, en:foam-boosting, en:hair-conditioning, en:surfactant"
C18-70 ISOPARAFFIN,246538-80-7,"en:emollient, en:skin-conditioning, en:skin-protecting"
JUNIPERUS SCOPULORUM LEAF/STEM OIL,,"en:masking, en:tonic"
PEG-18 PALMITATE,9004-94-8,en:emulsifying
LEATHER CORAL EXTRACT,,en:skin-conditioning
ASPERGILLUS/ANGELICA TENUISSIMA ROOT EXTRACT FERMENT FILTRATE,,en:skin-conditioning
PEG-2 SORBITAN TRIOLEATE,,en:emulsifying
POLYUREA CROSSPOLYMER-2,1403495-60-2,en:film-forming
PALMAMIDE MEA,,"en:emulsifying, en:emulsion-stabilising, en:foam-boosting, en:surfactant, en:viscosity-controlling"
THUJOPSIS DOLABRATA LEAF EXTRACT,91722-39-3,en:perfuming
EXCOECARIA FORMOSANA LEAF EXTRACT,,"en:humectant, en:skin-conditioning, en:skin-protecting"
PISTACIA VERA SEED OIL,90082-81-8,en:skin-conditioning
CALOCEDRUS DECURRENS LEAF/STEM EXTRACT,,en:skin-conditioning
POTASSIUM TETRATHIONATE,13932-13-3,en:reducing
SPROUT EXTRACT,,en:antioxidant
ASPALATHUS LINEARIS LEAF EXTRACT,,en:skin-conditioning
DEER MILK EXTRACT,,en:skin-conditioning
PANICUM MILIACEUM SPROUT EXTRACT,90082-36-3,en:skin-conditioning
HEXYLENE GLYCOL DIMETHACRYLATE/GLYCOL DIMETHACRYLATE CROSSPOLYMER,117255-16-0,en:not-reported
SH-POLYPEPTIDE-56 RH-POLYPEPTIDE-65,,"en:hair-conditioning, en:skin-conditioning, en:skin-protecting"
FRAGARIA VESCA SEED BUTTER,,"en:emollient, en:hair-conditioning, en:skin-conditioning"
DISODIUM CARBOXYETHYL SILICONATE,18191-40-7,"en:not-reported, en:skin-conditioning"
PALMITOYL SH-OLIGOPEPTIDE-79,,en:nail-conditioning
SACCHAROMYCES/ZYGOSACCHAROMYCES/GARLIC BULB/(HERICUM ERINACEUM/AURICULARIA AURICULA-JUDAE/GRIFOLA FRONDOSA) FRUITING BODY/PERILLA OCYMOIDES LEAF/DIOSCOREA JAPONICA RHIZOME/(ARCTIUM LAPPA/BEET/GINGER/IPOMOEA BATATAS) ROOT/(PHASEOLUS ANGULARIS/SESAME/SOYBEAN) SEED/CLADOSIPHON OKAMURANUS/LAMINARIA JAPONICA/UNDARIA PINNATIFIDA FERMENT FILTRATE,,en:humectant
BACILLUS/VIGNA ANGULARIS SEED FERMENT FILTRATE,,"en:emollient, en:humectant, en:skin-conditioning, en:skin-protecting"
TRANS-2-HEXENYL ISOVALERATE,68698-59-9,en:perfuming
SODIUM DEXTRAN SULFATE,9011-18-1,"en:gel-forming, en:viscosity-controlling"
BIOTA ORIENTALIS LEAF EXTRACT,,en:humectant
SCHIZOSACCHAROMYCES FERMENT FILTRATE,,"en:hair-conditioning, en:humectant, en:skin-conditioning"
TETRADECYLEICOSANOL,119691-49-5,"en:emollient, en:skin-conditioning, en:viscosity-controlling"
OLIVAMIDOPROPYL DIMETHYLAMINE LACTATE,124046-31-7,"en:antistatic, en:hair-conditioning"
SODIUM OLEOAMPHOHYDROXYPROPYLSULFONATE,68134-15-6,"en:cleansing, en:foam-boosting, en:foaming, en:hair-conditioning, en:hydrotrope, en:surfactant"
SH-POLYPEPTIDE-17,,en:skin-conditioning
EUCHEUMA SPINOSUM EXTRACT,9062-07-1,en:skin-conditioning
LACTOBACILLUS/CHONDRUS OCELLATUS FERMENT FILTRATE,,"en:humectant, en:skin-conditioning"
FULLER'S EARTH,8031-18-3,"en:abrasive, en:absorbent, en:bulking, en:opacifying"
POTASSIUM LAURYL ASPARTATE,267653-32-7,en:surfactant
BACILLUS/KURODA'S SEA HARE EXTRACT FERMENT FILTRATE,,en:antioxidant
HEPTAPEPTIDE-36 DIMER,,en:skin-conditioning
DESMODIUM ADSCENDENS FLOWER/LEAF/STEM EXTRACT,,en:skin-conditioning
WITHANIA SOMNIFERA FLOWER EXTRACT,90147-43-6,en:skin-conditioning
LAURYL PEG-10 METHYL ETHER DIMETHICONE,,en:surfactant
POTASSIUM ETHYL ESTER OF PVM/MA COPOLYMER,,en:chelating
UNCARIA TOMENTOSA BARK POWDER,,en:skin-conditioning
LACTOBACILLUS/LEDUM PALUSTRE/ARTEMISIA CAPILLARIS/HOUTTUYNIA CORDATA/SAURURUS CHINENSIS LEAF EXTRACT FERMENT FILTRATE,,"en:antimicrobial, en:antioxidant, en:skin-conditioning"
CAPROYL SPHINGOSINE,124753-97-5,"en:hair-conditioning, en:skin-conditioning"
PHASEOLUS TRILOBUS SEED EXTRACT,,"en:humectant, en:skin-conditioning"
ISOPROPYLAMINE,75-31-0,en:buffering
STEPHANIA CEPHALANTHA ROOT EXTRACT,,en:skin-conditioning
SILKWORM FRASS,,en:abrasive
ARUNDO DONAX STEM EXTRACT,,en:skin-conditioning
T-BUTYLACRYLAMIDE/DIMETHYLACRYLAMIDE/PEG-14 DIACRYLATE CROSSPOLYMER,,en:hair-fixing
PINUS SIBIRICA SEED OIL POLYGLYCERYL-6 ESTERS,,"en:emulsifying, en:surfactant"
PEG-12 DIMETHICONE CROSSPOLYMER,,"en:emulsifying, en:stabilising, en:viscosity-controlling"
Polyquaternium-22,,
NYMPHAEA CAERULEA SEED EXTRACT,,en:skin-conditioning
SODIUM CAPRYLETH-2 CARBOXYLATE,126646-15-9,en:surfactant
PASSIFLORA QUADRANGULARIS FRUIT EXTRACT,,"en:skin-protecting, en:soothing"
SH-OLIGOPEPTIDE-7,,"en:humectant, en:skin-conditioning, en:skin-protecting"
TRICLOCARBAN,101-20-2,"en:deodorant, en:preservative"
URTICA DIOICA LEAF/TUSSILAGO FARFARA LEAF/EQUISETUM ARVENSE STEM/ROSMARINUS OFFICINALIS LEAF/SALVIA OFFICINALIS LEAF/ACHILLEA MILLEFOLIUM FLOWER/MENYANTHES TRIFOLIATA LEAF/BETULA ALBA LEAF EXTRACT,,en:humectant
GERANYL HEXANOATE,10032-02-7,en:perfuming
DIGLYCERIN,"59113-36-9, 25618-55-7","en:humectant, en:skin-conditioning"
POLYGLYCERYL-3 RICINOLEATE,,en:emulsifying
PPG-2-ISODECETH-6,155683-77-5,"en:emulsifying, en:surfactant"
COCODIMONIUM HYDROXYPROPYL HYDROLYZED SOY PROTEIN,,"en:antistatic, en:hair-conditioning, en:skin-conditioning, en:surfactant"
ETHYL PYRROLIDONE,2687-91-4,en:solvent
PERILLA FRUTESCENS CALLUS CULTURE EXTRACT,90082-61-4,en:skin-conditioning
METHYL NICOTINATE,93-60-7,"en:soothing, en:tonic"
CETYL DODECENYLSUCCINATE,,en:emulsion-stabilising
SUNSTONE POWDER,,en:skin-conditioning
BUTYLENE GLYCOL DICAPRYLATE/DICAPRATE,,"en:emollient, en:skin-conditioning"
PPG-4 TRIDECETH-6,65150-81-4,"en:emollient, en:emulsifying"
HYDROLYZED PEPPER FRUIT EXTRACT,,en:skin-protecting
OCTYLDODECYL METHOXYCRYLENE,1558950-52-9,en:solvent
POLYGLYCERYL-10 DECAOLEATE,11094-60-3,en:skin-conditioning
TETRAPEPTIDE-53,,en:skin-conditioning
LAPIS LAZULI EXTRACT,,en:skin-conditioning
BIS-HEXACOSYL DIMETHICONE,,"en:emollient, en:skin-conditioning"
TRANS-2-HEXENYL HEXANOATE,53398-86-0,en:perfuming
SODIUM COCOYL HYDROLYZED KERATIN,,"en:antistatic, en:hair-conditioning, en:skin-conditioning, en:surfactant"
SACCHAROMYCES/APPLE FRUIT/SWEET CHERRY FRUIT/SUCROSE FERMENT FILTRATE,,en:humectant
TRIPHENYLPHOSPHINE,603-35-0,en:nail-conditioning
CITRUS AURANTIFOLIA FLOWER/GALIUM APARINE EXTRACT,,en:skin-conditioning
PENTAERYTHRITYL STEARATE/CAPRATE/CAPRYLATE/ADIPATE,,en:emollient
SODIUM PALMITOYL HYDROLYZED COLLAGEN,222400-25-1,"en:hair-conditioning, en:skin-conditioning"
BETULA PUBESCENS TWIG EXTRACT,91745-85-6,en:perfuming
MAURITIA FLEXUOSA FRUIT OIL,394239-67-9; 906350-92-3,en:skin-conditioning
SACCHAROMYCES/ARGANIA SPINOSA KERNEL OIL FERMENT FILTRATE,,"en:emollient, en:skin-conditioning"
PEG-136 POLYVINYL ALCOHOL,,en:anticaking
CI 45350,518-47-8 / 2321-07-5 / 6417-85-2,en:cosmetic-colorant
MALVA SYLVESTRIS FLOWER/LEAF/STEM EXTRACT,84082-57-5,en:skin-conditioning
CI 75100,27876-94-4 / 89382-88-7,en:cosmetic-colorant
BIS(TRIPEPTIDE-1) COPPER ACETATE,130120-57-9,en:skin-conditioning
ISOPROPYL SHEA BUTTERATE,,"en:emollient, en:skin-conditioning"
METHYLCINNAMONITRILE,1197-33-7,en:perfuming
OLIGOPEPTIDE-128,,en:skin-conditioning
GARDENIA FLORIDA OIL,68916-47-2,en:tonic
TETRAMETHYLCHROMANOL GLUCOSIDE,,"en:antioxidant, en:humectant, en:skin-conditioning"
POLYGLYCERYL-4 LAURATE/SUCCINATE,,
POLOXAMER 288,9003-11-6,"en:emulsifying, en:surfactant"
HYDROGENATED CASTOR OIL STEARYL ESTERS,,"en:emulsion-stabilising, en:hair-conditioning, en:skin-conditioning"
SODIUM GRAPESEEDAMPHOACETATE,,en:cleansing
ROSA CANINA FRUIT OIL,84696-47-9 / 84603-93-0,"en:emollient, en:skin-conditioning"
M-CRESYL ACETATE,122-46-3,en:perfuming
SODIUM DODOXYNOL-40 SULFATE,,en:surfactant
KALANCHOE DAIGREMONTIANA LEAF EXTRACT,,en:humectant
HYDROLYZED PLATANUS OCCIDENTALIS EXTRACT,90082-83-0,en:skin-conditioning
HEXETH-5,31726-34-8,"en:cleansing, en:emulsifying, en:hydrotrope, en:solvent, en:surfactant"
FARNESOL,4602-84-0,"en:deodorant, en:perfuming"
P-CRESYL ISOBUTYRATE,103-93-5,en:perfuming
POLYGLYCERYL-6 SESQUISTEARATE,112939-69-2,en:emulsifying
CAMELLIA JAPONICA SEED EXTRACT,223748-13-8,en:skin-conditioning
SODIUM LAUROYL ISETHIONATE,7381-01-3,"en:antistatic, en:cleansing, en:foaming, en:hair-conditioning, en:skin-conditioning, en:surfactant"
BUTYLDIMONIUMHYDROXYPROPYL BUTYLGLUCOSIDES CHLORIDE,,"en:cleansing, en:emulsifying, en:skin-conditioning, en:surfactant"
HYDROLYZED OPUNTIA FICUS-INDICA FLOWER EXTRACT,90082-21-6,"en:abrasive, en:skin-protecting"
HYDROLYZED WHEAT PROTEIN/DIMETHICONE PEG-7 ACETATE,,"en:film-forming, en:skin-conditioning"
MERCAPTOPROPIONIC ACID,107-96-0,"en:depilatory, en:hair-waving-or-straightening, en:reducing"
BEHENYL/ISOSTEARYL BEESWAX,235433-32-6,"en:emollient, en:emulsifying, en:film-forming, en:skin-conditioning"
RHODINYL ISOBUTYRATE,138-23-8,en:perfuming
LIRIOSMA OVATA WOOD EXTRACT,91770-18-2,en:masking
NONAN-2-ONE,821-55-6,en:perfuming
BIFIDA/PANAX GINSENG ROOT CELL CULTURE EXTRACT FERMENT FILTRATE,,"en:antimicrobial, en:antioxidant, en:astringent, en:hair-conditioning, en:nail-conditioning, en:oral-care, en:skin-conditioning, en:skin-protecting"
BARNARDIA JAPONICA BULB EXTRACT,,
VOANDZEIA SUBTERRANEA SEED EXTRACT,,en:skin-conditioning
SODIUM STEAROYL HYALURONATE,222400-51-3,"en:hair-conditioning, en:skin-conditioning"
ACRYLATES/ETHYLHEXYL ACRYLATE/HEMA COPOLYMER,64771-95-5,en:film-forming
SODIUM COCOYL WHEAT AMINO ACIDS,,"en:cleansing, en:hair-conditioning, en:skin-conditioning"
IRIS PSEUDACORUS ROOT EXTRACT,90045-91-3,en:perfuming
PAECILOMYCES JAPONICA/DEER ANTLER FERMENT EXTRACT FILTRATE,,en:skin-conditioning
ETHYL ESTER OF HYDROLYZED SILK,,"en:antistatic, en:hair-conditioning, en:skin-conditioning"
TRIDECANAL,10486-19-8,en:perfuming
COCAMIDE,61789-19-3,"en:emulsifying, en:emulsion-stabilising, en:surfactant, en:viscosity-controlling"
OLEA EUROPAEA FRUIT UNSAPONIFIABLES,8001-25-0,"en:antioxidant, en:emollient, en:hair-conditioning"
POLYSORBATE 20,9005-64-5,"en:emulsifying, en:surfactant"
BACILLUS/ZIZANIA LATIFOLIA LEAF FERMENT EXTRACT,,"en:humectant, en:skin-conditioning"
S-MUSSEL POLYPEPTIDE-1,,en:skin-conditioning
CI 18820,6359-82-6,en:cosmetic-colorant
GLYCERYL HYDROGENATED SOYATE,61789-08-0,"en:emollient, en:skin-conditioning"
SODIUM LAUROYL ASPARTATE,41489-18-3,"en:cleansing, en:hair-conditioning, en:surfactant"
SACCHAROMYCES/GLYCYRRHIZA GLABRA/GLYCYRRHIZA URALENSIS LEAF/STEM FERMENT EXTRACT,,en:humectant
HYDROXYETHYL PEI-1500,,en:surfactant
CLOFLUCARBAN,369-77-7,"en:antimicrobial, en:deodorant"
HYDROGENATED ACETOPHENONE/OXYMETHYLENE/IPDI COPOLYMER,129870-75-3,"en:binding, en:film-forming, en:nail-conditioning, en:viscosity-controlling"
PRUNUS AVIUM SHELL POWDER,85566-22-9,en:abrasive
NEOPENTYL GLYCOL DIETHYLHEXANOATE,28510-23-8,"en:emollient, en:skin-conditioning"
DIMETHYL MYRISTAMINE,112-75-4,"en:antistatic, en:hair-conditioning"
COBALT TITANIUM OXIDE,12017-38-8,en:skin-conditioning
DIETHYLHEXYL TEREPHTHALATE,6422-86-2,en:plasticiser
S-GLYOXYLOYL ACETYL CYSTEINE,,en:hair-waving-or-straightening
CANANGA ODORATA LEAF CELL EXTRACT,,"en:antioxidant, en:skin-protecting"
SAMBUCUS NIGRA BUD EXTRACT,84603-58-7,en:antioxidant
KLUYVEROMYCES/LACTOBACILLUS/CAMELLIA JAPONICA SEED OIL/CAMPHOR BARK EXTRACT FERMENT FILTRATE,,"en:antimicrobial, en:antioxidant, en:bleaching, en:hair-conditioning, en:skin-conditioning"
SODIUM C12-14 OLEFIN SULFONATE,85536-12-5,"en:cleansing, en:foaming, en:surfactant"
SODIUM STEAROYL HYDROLYZED CORN PROTEIN,222400-45-5,"en:cleansing, en:hair-conditioning, en:skin-conditioning, en:surfactant"
CASSIA HYDROXYPROPYLTRIMONIUM CHLORIDE,,"en:antistatic, en:hair-conditioning"
PHELLINUS LINTEUS/MORUS BOMBYCIS WOOD POWDER FERMENT EXTRACT,,en:emollient
MYRICA CERIFERA FRUIT/BARK EXTRACT,84929-34-0,en:astringent
CHRYSANTHEMUM PARTHENIUM FLOWER EXTRACT,89997-65-9,en:skin-conditioning
DICAPRYL SODIUM SULFOSUCCINATE,23524-64-3,"en:cleansing, en:emulsion-stabilising, en:hydrotrope, en:surfactant"
ACETYLSALICYLOYL PENTAPEPTIDE-33,,"en:antioxidant, en:skin-protecting"
ARTEMISIA MARITIMA HERB OIL,89957-63-1,en:perfuming
PALMITOYL LYSYL S-SNAIL OLIGOPEPTIDE-1 AMIDE ACETATE,,en:skin-conditioning
POA ANNUA EXTRACT,,en:skin-conditioning
PEG-8 RASPBERRIATE,,en:emulsifying
SH-POLYPEPTIDE-93,,en:skin-conditioning
ROSA LUCIAE BRANCH/FLOWER/LEAF EXTRACT,,en:skin-conditioning
SR-HORSE OLIGOPEPTIDE-1,,en:skin-protecting
CALCIUM POLYGAMMA-GLUTAMATE,648426-24-8,en:skin-conditioning
METHOXY PEG-17/METHOXY PEG-11/HDI CROSSPOLYMER,,en:anticaking
PEG-9 COCOGLYCERIDES,67762-35-0,"en:emollient, en:emulsifying"
ACRYLATES/OCTYLACRYLAMIDE/DIPHENYL AMODIMETHICONE COPOLYMER,,"en:hair-conditioning, en:hair-fixing"
SUCROSE HEXAOLEATE/HEXAPALMITATE/HEXASTEARATE,,"en:emulsifying, en:surfactant"
PRUNUS DAVIDIANA FLOWER EXTRACT,,en:skin-conditioning
PCA,98-79-3,"en:humectant, en:moisturising"
SODIUM ETHYL ESTER OF PVM/MA COPOLYMER,,"en:binding, en:film-forming, en:hair-fixing"
4-METHYL-7-GERANYLOXYCOUMARIN,50542-90-0,en:perfuming
DM HYDANTOIN,77-71-4,"en:hair-conditioning, en:viscosity-controlling"
ISOPROPYL BENZOATE,939-48-0,"en:perfuming, en:preservative"
POLYGLYCERYL-3 STEARATE/ISOSTEARATE/DIMER DILINOLEATE COPOLYMER,,"en:skin-conditioning, en:skin-protecting, en:viscosity-controlling"
TUBER MAGNATUM EXTRACT,,en:skin-conditioning
GRINDELIA CAMPORUM FLOWER/LEAF,90045-45-7,en:tonic
PYRUS MALUS FLOWER EXTRACT,85251-63-4,en:skin-conditioning
DODOXYNOL-7,9014-92-0 / 26401-47-8,"en:emulsifying, en:surfactant"
PRIMULA VERIS EXTRACT,84787-68-8,en:skin-conditioning
TETRASODIUM DICARBOXYMETHYL ASPARTATE,34612-80-1,en:chelating
CETEARTRIMONIUM CHLORIDE,68002-62-0,"en:antistatic, en:hair-conditioning, en:preservative"
QUATERNIUM-88,,"en:antistatic, en:hair-conditioning"
BABASSU OIL POLYGLYCERYL-6 ESTERS,,"en:emollient, en:emulsifying"
ADAMANTANYL METHYLHYDROXYLTEREPHTHALAMIDE,,"en:antioxidant, en:skin-protecting"
FERROUS SULFATE,7720-78-7,en:astringent
THIAMINE DIPHOSPHATE,154-87-0,en:skin-conditioning
ROSA KAMCHATICA FRUIT EXTRACT,,"en:hair-conditioning, en:humectant, en:skin-conditioning"
TRANS-2-METHYL-4-PROPYL-1‚3-OXATHIANE,59324-17-3,en:perfuming
DIOSPYROS EBENUM BARK EXTRACT,97281-43-1,en:skin-conditioning
PEG/PPG-200/40 COPOLYMER,,"en:cleansing, en:solvent, en:surfactant"
CINNAMYL ISOVALERATE,140-27-2,en:perfuming
PANTHENOL,81-13-0 / 16485-10-2,"en:antistatic, en:hair-conditioning, en:skin-conditioning"
PEG-10 DIMETHICONE/VINYL DIMETHICONE CROSSPOLYMER,,"en:stabilising, en:viscosity-controlling"
DIMETHYLDIBENZYLIDENE SORBITOL,135861-56-2,en:viscosity-controlling
CETETHYLDIMONIUM BROMIDE,124-03-8,"en:antimicrobial, en:antistatic, en:emulsifying, en:surfactant"
HYDROXYUNDECANOIC ACID,6336-28-3,en:skin-conditioning
PEG-26-PPG-30 PHOSPHATE,,"en:cleansing, en:hydrotrope"
PIMPINELLA GUSTAVOHEGIANA EXTRACT,,en:skin-conditioning
PANAX GINSENG SEED POWDER,84650-12-4,"en:skin-conditioning, en:skin-protecting"
SUCROSE ACETATE/STEARATE,,"en:emollient, en:skin-conditioning"
PEI-45,9002-98-6,en:viscosity-controlling
SACCHAROMYCES/MALUS PUMILA FRUIT FERMENT FILTRATE,,"en:emollient, en:skin-conditioning"
HIBISCUS MUTABILIS FLOWER EXTRACT,,en:skin-conditioning
POTASSIUM UNDECYLENOYL HYDROLYZED WHEAT PROTEIN,222400-42-2,"en:emulsion-stabilising, en:hair-conditioning, en:skin-conditioning"
TRIBEHENIN PEG-20 ESTERS,,"en:emollient, en:emulsifying, en:skin-conditioning, en:surfactant"
CHROMIUM OXIDE GREENS,1308-38-9,en:hair-dyeing
HEPTAPEPTIDE-41,,en:skin-conditioning
LINALOOL DIHYDROEPOXIDE,1365-19-1,en:perfuming
APRICOT KERNEL OIL PEG-8 ESTERS,,"en:emollient, en:emulsifying, en:skin-conditioning, en:surfactant"
LACTOBACILLUS/ROSA CENTIFOLIA FLOWER FERMENT FILTRATE,,en:humectant
RHYOLITE EXTRACT,,en:skin-conditioning
ALSIDIUM HELMINTHOCORTON EXTRACT,,en:skin-conditioning
LEUCONOSTOC FERMENT FILTRATE,,"en:antidandruff, en:antimicrobial, en:hair-conditioning, en:skin-conditioning"
DICETYL PHOSPHATE,2197-63-9,"en:emulsifying, en:surfactant"
CAMELLIA SEED OIL/HYDROGENATED CAMELLIA SEED OIL ESTERS,,
ANT EGG OIL EXTRACT,,en:hair-conditioning
DIAMYL SODIUM SULFOSUCCINATE,922-80-5,"en:cleansing, en:foam-boosting, en:hydrotrope, en:surfactant"
HYDROXYETHYL PALMITYL OXYHYDROXYPROPYL PALMITAMIDE,110483-07-3,"en:emollient, en:humectant"
BIS-HYDROXYETHYL ACRYLATE POLY(NEOPENTYL GLYCOL ADIPATE)/IPDI COPOLYMER,82339-15-9,en:binding
FOENICULUM VULGARE CAPILLACEUM FRUIT OIL,92347-02-9,en:perfuming
SHEEP DERMAL CELLS LYSATE,,en:skin-protecting
AMINOBUTYROYL TRIPEPTIDE-1,,"en:antioxidant, en:skin-protecting"
PHALAENOPSIS CHARM SUN BIG RED ROBE FLOWER EXTRACT,,"en:antimicrobial, en:antioxidant, en:skin-conditioning, en:skin-protecting"
BIFIDA/ENTEROCOCCUS FAECIUM/LACTOBACILLUS/STREPTOCOCCUS THERMOPHILUS/SOYMILK FERMENT CURD,,
PEG/PPG-30/10 MALEIMIDE/STYRENE COPOLYMER,,en:not-reported
