inci_name,cas_no,function
LACTOBACILLUS/PUERARIA LOBATA ROOT EXTRACT FERMENT FILTRATE,,en:skin-conditioning
NONAPEPTIDE-29 PENTAPEPTIDE-4,,"en:emollient, en:skin-conditioning, en:skin-protecting"
ISOSTEARYL BEHENAMIDOPROPYL BETAINATE CHLORIDE,185022-44-0,"en:antistatic, en:hair-conditioning"
OLIVE OIL PROPYLENE GLYCOL ESTERS,,en:emollient
POLYMETHACRYLAMIDOPROPYLTRIMONIUM METHOSULFATE,181788-04-5,"en:antistatic, en:film-forming, en:hair-conditioning"
LEPTOSPERMUM SCOPARIUM BRANCH/LEAF OIL,223749-44-8,en:tonic
PINUS RIGIDA BARK EXTRACT,,en:skin-conditioning
SAFFLOWER OIL/PALM OIL AMINOPROPANEDIOL ESTERS,,en:skin-conditioning
Di-n-pentyl phthalate,,
TETRABROMOPHENOL BLUE,4430-25-5,en:hair-dyeing
HEPTYL GLUCOSIDE,100231-64-9,en:surfactant
ETHYL OLIVATE,92044-99-0,en:emollient
MALPIGHIA EMARGINATA FRUIT POWDER,,en:absorbent
ISOSTEAROYL EPOXY RESIN,,en:film-forming
SODIUM C13-15 PARETH-3 SULFATE,,"en:cleansing, en:surfactant"
CITRONELLYL PROPIONATE,141-14-0,en:perfuming
LACTOSCATONE,21280-29-5,en:perfuming
AILANTHUS ALTISSIMA FRUIT EXTRACT,90131-67-2,en:skin-protecting
ALPINIA FORMOSANA LEAF OIL,,"en:humectant, en:skin-conditioning"
GOSSYPIUM HERBACEUM SEEDCAKE EXTRACT,223749-08-4,"en:skin-conditioning, en:uv-absorber"
SH-OCTAPEPTIDE-4,,"en:antidandruff, en:antioxidant, en:chelating, en:reducing, en:skin-protecting"
PETROSELINUM CRISPUM SEED OIL,84012-33-9,"en:masking, en:perfuming"
COPTIS JAPONICA RHIZOME EXTRACT,223748-66-1,"en:antimicrobial, en:skin-conditioning"
AMMONIUM ACRYLOYLDIMETHYLTAURATE/CARBOXYETHYL ACRYLATE CROSSPOLYMER,,en:viscosity-controlling
HYDROXYPHENYL HYDROXYMETHOXYISOINDOLINONE,,en:antioxidant
C8-22 ALKYL ACRYLATES/METHACRYLIC ACID CROSSPOLYMER,,"en:film-forming, en:hair-fixing, en:hair-waving-or-straightening"
C12-15 ALKYL ETHYLHEXANOATE,90411-66-8,"en:emollient, en:skin-conditioning"
LUPEOL,545-47-1,en:skin-conditioning
POLYGLYCERYL-2 DIPOLYHYDROXYSTEARATE,144470-58-6,en:skin-conditioning
DIMETHYLAMINOPROPYLAMINO HYPOCRELLIN B,,en:depilatory
AMOMUM AROMATICUM FRUIT EXTRACT,91745-62-9,en:skin-conditioning
POTASSIUM DIHYDROXYETHYL COCAMINE OXIDE PHOSPHATE,,"en:foam-boosting, en:hair-conditioning, en:surfactant"
CITRUS TANKAN FRUIT WATER,,en:humectant
SELAGINELLA PULVINATA EXTRACT,,en:antioxidant
POTASSIUM SULFIDE,1312-73-8 / 37248-34-3,en:depilatory
POLYACRYLATE CROSSPOLYMER-10,,en:solvent
HEXYLDECYL BENZOATE,163883-40-7,"en:emollient, en:plasticiser, en:solvent"
ISOPROPYL ALCOHOL,67-63-0,"en:antifoaming, en:perfuming, en:solvent, en:viscosity-controlling"
P-ANISONITRILE,874-90-8,en:perfuming
CI 74260,1328-53-6,en:cosmetic-colorant
CI 77267,8021-99-6,en:cosmetic-colorant
CAFFEINE CARBOXYLOYL SH-DECAPEPTIDE-1,,en:skin-conditioning
MENTHYL PCA,64519-44-4 / 68127-22-0,"en:humectant, en:skin-conditioning"
DIMETHICONOL/STEARYL METHICONE/PHENYL TRIMETHICONE COPOLYMER,,"en:skin-conditioning, en:stabilising"
CITRONELLYL BENZOATE,10482-77-6,en:perfuming
SODIUM STEARETH-4 PHOSPHATE,57829-61-5 / 87666-99-7,en:emulsifying
KAEMPFERIA GALANGA RHIZOME/ROOT EXTRACT,92347-13-2,en:skin-conditioning
PHENYLETHOXYACETALDEHYDE,41847-88-5,en:perfuming
MYROTHAMNUS FLABELLIFOLIA LEAF EXTRACT,,en:emollient
C12-15 PARETH-9,68131-39-5,"en:emulsifying, en:surfactant"
ISOPROPYL ISOVALERATE,32665-23-9,en:perfuming
CARTHAMUS TINCTORIUS FLOWER WATER,223749-52-8,en:skin-conditioning
ISOSTEAROYL TRIMELLITIC ANHYDRIDE/TRIMETHYLOLPROPANE COPOLYMER,1190965-82-2,
PHASEOLUS COCCINEUS SEED EXTRACT,,en:skin-conditioning
CORIANDRUM SATIVUM CALLUS CULTURE CONDITIONED MEDIA,,"en:antioxidant, en:skin-conditioning, en:skin-protecting"
BETA-CAROTENE,7235-40-7,en:skin-conditioning
MYRISTAMIDOBUTYL GUANIDINE ACETATE,,"en:antistatic, en:skin-conditioning, en:surfactant"
THERMUS THERMOPHILUS PUTATIVE ESTERASE,,en:skin-conditioning
4-METHYL-3-DECEN-5-OL,81782-77-6,en:perfuming
C4-8 ALKYL ACRYLATE/HEMA COPOLYMER,,en:hair-fixing
HYDROXYPROPYLTRIMONIUM HYDROLYZED WHEAT STARCH,,"en:antistatic, en:hair-conditioning"
BRASSICA ALBA SPROUT EXTRACT,,en:skin-conditioning
ASPERGILLUS/HIPPOPHAE RHAMNOIDES SEED FERMENT FILTRATE,,"en:antioxidant, en:humectant, en:skin-conditioning"
RICE BRAN OIL POLYGLYCERYL-3 ESTERS,,"en:emulsifying, en:surfactant"
LAURALKONIUM BROMIDE,7281-04-1,"en:antistatic, en:preservative"
ERYTHRODIOL,545-48-2,"en:antioxidant, en:skin-conditioning"
ACRYLATES/BEHENETH-25 METHACRYLATE/STEARETH-30 METHACRYLATE COPOLYMER,888492-33-9,en:film-forming
SODIUM ACRYLATE/ACROLEIN COPOLYMER,,"en:binding, en:film-forming, en:viscosity-controlling"
DIHYDROLANOSTEROL,79-62-9,"en:emulsifying, en:emulsion-stabilising, en:skin-conditioning"
DIPENTAERYTHRITYL HEXAHYDROXYSTEARATE,,"en:emulsifying, en:skin-conditioning, en:smoothing, en:viscosity-controlling"
OXIDIZED STARCH ACETATE,68187-08-6,en:skin-conditioning
PAKAU WHITE CLAY,,"en:humectant, en:skin-conditioning"
SAPINDUS MUKOROSSI PEEL EXTRACT,,en:skin-conditioning
GLYCERETH-2 COCOATE,,"en:emulsifying, en:surfactant"
RICINOLETH-40,,"en:cleansing, en:emulsifying, en:surfactant"
MAGNESIUM GLUCOHEPTONATE,74347-32-3,en:skin-conditioning
HEXYL DIMETHYLOLPROPIONATE,,
Lauryl Methicone Copolyol,,
MYRRHIS ODORATA EXTRACT,90064-24-7,en:tonic
SACCHAROMYCES/SOYBEAN EXTRACT FILTRATE FERMENT,,"en:antioxidant, en:skin-protecting"
F.I.L. c36038/1,,
2-METHYLNAPHTHALENE,91-57-6,en:perfuming
SH-DECAPEPTIDE-1 SH-POLYPEPTIDE-2,,en:skin-conditioning
LAURDIMONIUM HYDROXYPROPYL (ALANINE/ARGININE/ ASPARAGINE/ASPARTIC ACID/GLUTAMIC ACID/GLYCINE/ISOLEUCINE/LEUCINE/LYSINE/METHIONINE/PHENYLALANINE/PROLINE/SERINE/THREONINE/TRYPTOPHAN/TYROSINE/VALINE),,"en:cleansing, en:foam-boosting, en:hair-conditioning, en:surfactant"
CI 15510,633-96-5,en:cosmetic-colorant
FRAGARIA CHILOENSIS FRUIT EXTRACT,95193-64-9,en:skin-conditioning
BETA-ALANYL HYDROXYPROLYLDIAMINOBUTYROYL BENZYLAMIDE,1694678-27-7,en:skin-conditioning
TRIACONTANYL PVP,136445-69-7,"en:film-forming, en:humectant, en:viscosity-controlling"
ORMENIS MULTICAULIS FLOWER CERA,92202-02-3,en:emollient
GAMMA-UNDECALACTONE,104-67-6,"en:perfuming, en:skin-conditioning"
HYDROGENATED SODIUM CYCLIC LYSOPHOSPHATIDIC ACID,,en:skin-conditioning
ALUMINUM ZIRCONIUM OCTACHLOROHYDRATE,98106-55-9,"en:antiperspirant, en:astringent, en:deodorant"
HEMA MALEATE,51978-15-5,en:film-forming
PEG-15 OLEATE,9004-96-0,en:emulsifying
CETYL DIMETHYLOCTANOATE,,"en:emollient, en:skin-conditioning"
HYDROXYETHYL ACRYLATE/SODIUM ACRYLOYLDIMETHYL TAURATE COPOLYMER,111286-86-3,"en:emulsion-stabilising, en:viscosity-controlling"
METHOXY PEG-22/DODECYL GLYCOL COPOLYMER,88507-00-0,"en:emulsion-stabilising, en:viscosity-controlling"
CAMELLIA JAPONICA GAMMA-LACTONE,,"en:hair-conditioning, en:nail-conditioning, en:skin-conditioning"
PALMITOYL SERINE/SILK AMINO ACIDS METHYL ESTERS,297157-14-3,"en:hair-conditioning, en:nail-conditioning, en:skin-conditioning"
PAEONIA SUFFRUTICOSA PHYTOPLACENTA EXTRACT,,"en:antimicrobial, en:antioxidant, en:hair-conditioning, en:skin-conditioning"
ISOCETETH-15,,en:emulsifying
HYPERICUM PERFORATUM FLOWER/LEAF EXTRACT,84082-80-4,en:skin-conditioning
HYDROLYZED BRASSICA NAPUS SEEDCAKE EXTRACT,,en:skin-conditioning
AETOXYLON SYMPETALUM WOOD OIL,1333524-00-7,en:masking
TILIA EUROPAEA FLOWER/LEAF EXTRACT,,en:skin-conditioning
MELALEUCA LEUCADENDRON CAJAPUT OIL,85480-37-1,en:masking
AMINOPROPYL LAURYLGLUTAMINE,221389-16-8,"en:antistatic, en:cleansing, en:hair-conditioning"
ETHOXYDIGLYCOL ISOSTEARATE,,en:emollient
VERATRALDEHYDE,120-14-9,en:perfuming
C9-11 ISOPARAFFIN,68551-16-6,"en:solvent, en:viscosity-controlling"
R-MUSSEL OLIGOPEPTIDE-1,,en:skin-conditioning
SH-NONAPEPTIDE-1,,en:skin-conditioning
SQUALENE,111-02-4,"en:antistatic, en:emollient, en:hair-conditioning, en:refatting, en:skin-conditioning"
GRIFOLA FRONDOSA MYCELIUM/ARENARIA KANSUENSIS EXTRACT FERMENT FILTRATE,,en:antioxidant
DECYL ACETATE,112-17-4,en:perfuming
KURUMI KAKU EKISU,,en:skin-conditioning
AMINOPENTYL AMINOADENINE,,en:not-reported
CI 47005,8004-92-0 / 94891-32-4 / 95193-83-2 / 68814-04-0,en:cosmetic-colorant
TRIETHANOLAMINE,102-71-6,"en:buffering, en:emulsifying, en:masking, en:surfactant"
SH-POLYPEPTIDE-41,,en:skin-conditioning
FERRIC NITRATE,7782-61-8,en:not-reported
