inci_name,cas_no,function,substance
2‚6-DIMETHYLPYRAZINE,108-50-9,perfuming,
MENTHA PIPERITA FLOWER/LEAF/STEM EXTRACT,84082-70-2,flavouring; masking; perfuming; skin-conditioning,
CIS-3-HEXENYL ACETATE,3681-71-8,perfuming,
ABIES ALBA LEAF CERA,90028-76-5,perfuming; skin-conditioning; skin-protecting,
TRIDECENAL,7774-82-5,perfuming,
POLIANTHES TUBEROSA FLOWER EXTRACT,94334-35-7,perfuming,
ALUMINUM HYDROXIDE OXIDE,11139-78-9,antimicrobial; astringent; skin-conditioning; skin-protecting,
ISOBUTYLQUINOLINE ISOMERS,1333-58-0,perfuming,
CINNAMIC ACID,140-10-3 / 621-82-9,perfuming; skin-conditioning,
BETA-IONOL,22029-76-1,perfuming,
POTASSIUM METABISULFITE,16731-55-8 / 4429-42-9,hair-waving-or-straightening; preservative; reducing,
ETHYL NICOTINATE,614-18-6,perfuming; skin-conditioning,
TEPYL ACETATE,38285-49-3,perfuming,
LESPEDEZA CYRTOBOTRYA EXTRACT,,antifoaming; antimicrobial; antioxidant; humectant; skin-conditioning; skin-protecting,
HYDROCINNAMYL ISOBUTYRATE,103-58-2,perfuming,
ETHYL PHENETHYL ACETAL,2556-10-7,perfuming,
3‚3-DIMETHYL-1‚5-DIOXASPIRO-UNDECANE,707-29-9,perfuming,
DODECAHYDRO-TETRAMETHYLNAPHTHOFURAN,3738-00-9 / 6790-58-5,perfuming,
ISOPROPYL OCTANOATE,5458-59-3,perfuming,
METHYLUNDECANAL,110-41-8,perfuming,
ISOAMYL GERANATE,68133-73-3,perfuming,
ISOVALERIC ACID,503-74-2,perfuming,
OXYQUINOLINE SULFATE,134-31-6,antimicrobial; emulsion-stabilising,
PHLORETIN,60-82-2,antioxidant; antiseborrhoeic,
NARDOSTACHYS JATAMANSI OIL,90064-28-1,perfuming,
CITRUS NOBILIS PEEL OIL EXPRESSED,84929-38-4,perfuming,
PINUS SYLVESTRIS TWIG LEAF EXTRACT,84012-35-1,perfuming,
TETRAMETHYL-3-CYCLOHEXENE-1-METHYL FORMATE,63649-51-4,perfuming,
PANAX GINSENG MERISTEM CELL CULTURE,,antimicrobial; antioxidant; skin-conditioning,
TRIMETHYLDODECATRIEN-3-YL ACETATE,2306-78-7,perfuming,
TRIMETHYL-1‚3-CYCLOHEXADIENYLBUTAN-2-ONE,20483-36-7,perfuming,
PINUS PINASTER TWIG LEAF EXTRACT,90082-75-0,perfuming,
RHODOPSEUDOMONAS,,bleaching; skin-conditioning,
ZINC DIBUTYLDITHIOCARBAMATE,136-23-2,antimicrobial; antioxidant,
BETULA ALBA BARK EXTRACT,84012-15-7,flavouring; masking; perfuming,
KLUYVEROMYCES/LACTOBACILLUS/ZIZYPHUS JUJUBA FRUIT OIL FERMENT FILTRATE,,antioxidant; astringent; hair-conditioning; skin-conditioning,
NERAL,106-26-3,perfuming,
ANIBA ROSAEODORA AMAZONICA WOOD EXTRACT,93685-34-8,perfuming,
DIPTERYX ODORATA BEAN EXTRACT,90028-06-1,masking; perfuming,
3-METHYLCYCLOPENTADECANOL,62151-56-8,perfuming,
ISOCAMPHENYL CYCLOHEXANOL MIXED ISOMERS,66068-84-6,perfuming,
ABIES BALSAMEA EXTRACT,85085-34-3,film-forming; hair-conditioning; perfuming,
COMMIPHORA WILDII OIL,1082996-27-7,masking; perfuming,
GERANIOL,106-24-1,perfuming; tonic,
2‚4-XYLENOL,105-67-9,perfuming,
BENZETHONIUM CHLORIDE,121-54-0,antimicrobial; deodorant; preservative; surfactant,
ISOPROPYL-CYCLOHEXANE-ACETALDEHYDE,93981-63-6,perfuming,
QUERCUS SALICINA STEM EXTRACT,,antimicrobial; antioxidant; astringent; emollient; hair-conditioning,
ETHYL CROTONATE,10544-63-5,perfuming,
METHYL DI-T-BUTYL HYDROXYHYDROCINNAMATE,6386-38-5,antioxidant; perfuming,
THIOACETANILIDE,637-53-6,antioxidant; bleaching,
BACILLUS/MONASCUS/ABELMOSCHUS ESCULENTUS SPROUT/RICE BRAN FERMENT FILTRATE,,antiseborrhoeic; humectant; skin-conditioning; stabilising,
ISOPROPYLPARABEN,4191-73-5,preservative,
OCTAHYDRO-8‚8-DIMETHYLNAPHTHALENE-2-CARBONITRILE,72928-51-9,perfuming,
TRANS-ROSE KETONE-2,23726-91-2,perfuming,
METHYL HYDRATROPALDEHYDE,99-72-9,perfuming,
LINALYL METHYL ETHER,60763-44-2,perfuming,
CYNARA SCOLYMUS LEAF/ROOT POWDER,,bleaching; humectant,
PYROLIGNEOUS ACIDS ETHYL ESTERS,8030-89-5,perfuming,
CUCUMIS MELO CANTALUPENSIS FRUIT EXTRACT,90063-94-8,astringent; skin-conditioning,
SCIADOPITYS VERTICILLATA ROOT EXTRACT,,antidandruff; antimicrobial; antistatic; skin-conditioning,
AMYL ALCOHOL,71-41-0,perfuming,
CITRUS AURANTIUM DULCIS PEEL OIL EXPRESSED,8028-48-6,perfuming,
CYCLOHEXYL ACETATE,622-45-7,perfuming,
LEVISTICUM OFFICINALE LEAF EXTRACT,84837-06-9,perfuming; skin-conditioning,
TERPINOLENE,586-62-9,perfuming,
SODIUM CITRONELLATE,757245-27-5,antidandruff; antimicrobial; masking,
2-TERT-BUTYL-4-METHYLCYCLOHEXANOL,67634-11-1,perfuming,
CITRUS AURANTIUM BERGAMIA LEAF EXTRACT,89957-91-5,astringent,
METHYL DECYLIDENEAMINOBENZOATE,67874-67-3,perfuming,
ONONIS SPINOSA ROOT EXTRACT,84775-89-3,antiseborrhoeic; soothing,
BIOTINOYL TRIPEPTIDE-35,,antimicrobial; antioxidant; antiseborrhoeic; hair-conditioning,
THYMUS PRAECOX EXTRACT,,antimicrobial,
OZONIZED POLYSORBATE 80,,antimicrobial; cleansing; surfactant,
DIMETHYL SULPHIDE,75-18-3,perfuming,
CAMPHOR BENZALKONIUM METHOSULFATE,52793-97-2,antimicrobial; antistatic; uv-absorber; uv-filter,
ANGELICA ARCHANGELICA ROOT OIL,84775-41-7 / 8015-64-3,masking; perfuming; tonic,
PELARGONIUM CRISPUM STEM OIL,90082-46-5,perfuming,
FURFURYL VALERATE,36701-01-6,perfuming,
ASPERGILLUS/ZIZANIA LATIFOLIA LEAF/OROSTACHYS JAPONICA/SCUTELLARIA BAICALENSIS EXTRACT FERMENT FILTRATE,,antiseborrhoeic,
MENTHA SPICATA CRISPATA HERB EXTRACT,91770-68-2,perfuming,
2‚7-DIMETHYL-5-OCTEN-4-ONE,68419-46-5,perfuming,
METHYLFURFURAL,620-02-0,perfuming,
DACRYDIUM FRANKLINI WOOD OIL,94334-02-8,perfuming,
ORMENIS MULTICAULIS FLOWER EXTRACT,92202-02-3,perfuming,
O-CRESYL ACETATE,533-18-6,perfuming,
4-T-BUTYLBENZOIC ACID,98-73-7,antimicrobial; masking,
ALUMINUM CALCIUM MAGNESIUM POTASSIUM SODIUM ZINC SILICATES,,antimicrobial,
GERANIC ACID,459-80-3,perfuming,
OCIMUM CANUM HERB OIL,90082-13-6,perfuming,
COMMIPHORA ERYTHREA GLABRESCENS GUM EXTRACT,93686-00-1 / 100084-96-6,perfuming,
BETA-IONONE,14901-07-6,perfuming,
ETHYL PALMITATE,628-97-7,emollient; perfuming,
ACETALDEHYDE ETHYL HEXYL ACETAL,54484-73-0,perfuming,
SODIUM CAPROYLETHYLFORMYL BENZENESULFONATE,720697-37-0,antimicrobial; oxidising,
SAPINDUS MUKOROSSI FRUIT FERMENT EXTRACT,,antimicrobial; antiseborrhoeic; skin-conditioning,
GLYCINE MAX PHYTOPLACENTA EXTRACT,,antimicrobial; antioxidant; hair-conditioning; humectant; skin-protecting,
MEK,78-93-3,perfuming; solvent,
ALLYL PHENYLACETATE,1797-74-6,perfuming,
2‚2-DIMETHYL-3-PHENYLPROPIONALDEHYDE,1009-62-7,perfuming,
C12-15 PARETH-3 BENZOATE,,antimicrobial; emollient; skin-conditioning,
A-CAMPHORENE,532-87-6,perfuming,
2-PROPANOL/BORON TRIFLUORIDE/ETHYLIDENEBICYCLOHEPTENE,90530-04-4,perfuming,
CIS-3-HEXENYL PHENYLACETATE,42436-07-7,perfuming,
OCTAHYDRO-TRIMETHYLSPIRO-METHANOAZULENE-6‚2'-OXIRANE,22037-88-3,perfuming,
GALACTOSYL SALICYLATE,1261353-24-5,antiseborrhoeic; skin-conditioning,
METHYL DODECYLIDENEAMINOBENZOATE,67924-14-5,perfuming,
7-METHYL-3-METHYLENE-1‚6-OCTADIENE ACETYLATED,68412-04-4,perfuming,
L-ALLO-OCIMENOL,126-90-9,perfuming,
DECAHYDRO-METHANOBENZO-CYCLOOCTENONE,22690-27-3,perfuming,
PINUS SYLVESTRIS CONE EXTRACT,84012-35-1 / 94266-48-5,masking; perfuming,
PENTAPEPTIDE-61,,antimicrobial; humectant; skin-conditioning; skin-protecting,
THEOBROMA GRANDIFLORUM FRUIT JUICE,906348-18-3,antioxidant; humectant; masking; perfuming,
PINUS NIGRA BUD/NEEDLE EXTRACT,90082-74-9,antimicrobial; antioxidant,
PINUS MUGO PUMILIO TWIG LEAF OIL,90082-73-8,perfuming,
BUTYL LAEVULINATE,2052-15-5,perfuming,
METHYL PELARGONATE,1731-84-6,emollient; perfuming; skin-conditioning,
POTERIUM OFFICINALE ROOT EXTRACT,84787-71-3,antimicrobial; tonic,
STYRAX TONKINENSIS RESIN OIL,9000-72-0 / 84012-39-5,perfuming,
MELALEUCA LEUCADENDRON CAJUPUTI LEAF EXTRACT,85480-37-1,perfuming,
CRESYL ACETATE,140-39-6,perfuming,
AMYL ISOBUTYRATE,2445-72-9,perfuming,
OCIMUM AMERICANUM LEAF OIL,91845-26-0; 1193393-25-7,masking; perfuming,
ANETHUM SOWA SEED OIL,84775-84-8,perfuming,
BENZALKONIUM CHLORIDE,63449-41-2 / 68391-01-5 / 68424-85-1 / 85409-22-9,antimicrobial; antistatic; deodorant; preservative; surfactant,
LAVANDULA HYBRIDA ABRIAL HERB EXTRACT,93455-96-0,perfuming,
D-TRIMETHYL-3-CYCLOHEXENE-1-METHANOL,7785-53-7,perfuming,
HYDROXY OXOBENZOXATHIOL,,astringent,
METHYL METHYLUNDECYLIDENE-AMINOBENZOATE,67800-80-0,perfuming,
METHYLBICYCLOHEPTYLPROPYL ACETATE,94201-28-2,perfuming,
DIHYDROGERANYL TIGLATE,24717-85-9,perfuming,
P-CRESYL METHYLETHER,104-93-8,perfuming,
PISUM SATIVUM PHYTOPLACENTA EXTRACT,,antimicrobial; antioxidant; humectant; skin-conditioning; skin-protecting,
2-TERT-BUTYL-5-METHYLANISOLE,88-40-4,perfuming,
OCIMUM CANUM HERB EXTRACT,90082-13-6,perfuming,
CITRUS GRANDIS SEED EXTRACT,90045-43-5 / 8016-20-4,astringent; perfuming; skin-conditioning; tonic,
ROSE KETONE-4,23696-85-7,perfuming,
NARCISSUS POETICUS FLOWER EXTRACT,90064-26-9,perfuming; tonic,
TRIMETHYLTRICYCLODODECANOL,472-97-9,perfuming,
CEDRUS ATLANTICA BARK WATER,92201-55-3,perfuming; skin-conditioning,
ISOPROPYL-METHYL-PYRANONE,50405-95-3,perfuming,
QUERCUS INFECTORIA FRUIT EXTRACT,93165-57-2,antioxidant; astringent; tonic,
ALLYL 3‚5,71500-37-3,perfuming,
3-ETHYLPHENOL,620-17-7,perfuming,
BORONIA MEGASTIGMA FLOWER OIL,91771-36-7,perfuming,
NICOTINALDEHYDE,500-22-1,antimicrobial,
CINNAMOMUM CAMPHORA LINALOOLIFERUM ROOT EXTRACT,91745-89-0,perfuming,
GERANYL CROTONATE,56172-46-4,perfuming,
CITRONELLYL ISOBUTYRATE,97-89-2,perfuming,
DISODIUM TETRAHYDROXY ETHYLDISULFATE,1523084-42-5,antimicrobial,
ETHYLTRIMETHYL-3-CYCLOPENTEN-1-ACETATE,81907-73-5,perfuming,
PIROCTONE OLAMINE,68890-66-4,preservative,
QUATERNIUM-15,4080-31-3 / 51229-78-8,preservative,
KLUYVEROMYCES/LACTOBACILLUS/ARTEMISIA PRINCEPS LEAF OIL FERMENT FILTRATE,,antimicrobial; antioxidant; astringent; bleaching; hair-conditioning; masking; skin-conditioning,
TRICYCLODECANE-4‚8-DIMETHANOL,26896-48-0,perfuming,
ALOE SPECIES RESIN,84837-08-1,perfuming,
HEXAHYDRO-TETRAMETHYLMETHANONAPHTHALEN-8-ONE,29461-13-0,perfuming,
ETHYL CINNAMATE,103-36-6,perfuming; uv-absorber,
PYRUS SORBUS BUD EXTRACT,90131-20-7,astringent; skin-conditioning,
2-METHYL-3-BUTEN-2-OL,115-18-4,perfuming,
CINNAMOMUM CAMPHORA PHYTOPLACENTA EXTRACT,,antimicrobial; antioxidant; hair-conditioning; humectant; skin-conditioning; skin-protecting,
MENTHA CARDIACA HERB EXTRACT,91770-24-0,perfuming,
SACCHAROMYCES/RUBUS ARCTICUS CALLUS LYSATE FERMENT EXTRACT FILTRATE,,antimicrobial; antioxidant; emollient; hair-conditioning; humectant; skin-protecting,
VIOLA MANDSHURICA FLOWER EXTRACT,,antioxidant; astringent,
PERILLYL ALCOHOL,536-59-4,antimicrobial; antioxidant; masking; perfuming; skin-protecting,
2-T-BUTYLCYCLOHEXYL ACETATE,88-41-5,masking; perfuming,
MIMOSA PUDICA FLOWER WATER,92201-96-2,flavouring; masking; perfuming; skin-conditioning,
CITRUS JUNOS FRUIT OIL,,flavouring; masking; perfuming,
ETHYL P-CRESYLCARBONATE,22719-81-9,perfuming,
PHENYL MERCURIC BENZOATE,94-43-9,preservative,
ILEX PARAGUARIENSIS LEAF EXTRACT,73296-98-7,hair-conditioning; perfuming; skin-conditioning,
HEXAHYDRO-METHANOINDENYL FORMATE,68683-22-7,perfuming,
METHYL PYRAZINYL KETONE,22047-25-2,perfuming,
AMMONIUM PERSULFATE,7727-54-0,bleaching; oxidising,
BETA-CARYOPHYLLENE,87-44-5,masking; perfuming; skin-conditioning,
PVP-HYDROGEN PEROXIDE,135927-36-5,astringent; oral-care; oxidising,
SODIUM TRICHLOROACETATE,650-51-1,antimicrobial,
PENTAMETHYL-2-HEPTANOL,87118-95-4,perfuming,
SOYTRIMONIUM CHLORIDE,61790-41-8,antistatic; emulsifying; hair-conditioning; preservative; surfactant,
ICARISIDE II,113558-15-9,antioxidant; bleaching; emollient; skin-conditioning; skin-protecting,
HEXADEC-7-EN-16-OLIDE,123-69-3,perfuming,
TEA-SORBATE,,antimicrobial; preservative,
DIHYDROCITRONELLYL ACETATE,20780-49-8,perfuming,
LITSEA CUBEBA FRUIT OIL,68855-99-2 / 90063-59-5,masking; perfuming; tonic,
POLYQUATERNIUM-42,,antimicrobial,
DECYLOXYACETALDEHYDE,72894-07-6,perfuming,
EVERNIA PRUNASTRI EXTRACT,90028-68-5 / 9000-50-4 / 68917-10-2,perfuming,
C12-15 ALKYL BENZOATE,68411-27-8,antimicrobial; emollient; skin-conditioning,
CYCLOTETRADECANONE,3603-99-4,perfuming,
LOLIUM PERENNE FRUIT OIL,90063-63-1,perfuming,
PHYTOSTERYL RICE BRANATE,,astringent; emollient; hair-conditioning; humectant; skin-protecting,
ADAMANTANYL TRIHYDROXYBENZAMIDE,,antioxidant; bleaching; skin-protecting,
ISODON INFLEXUS BRANCH/LEAF EXTRACT,,bleaching,
BUTYL UNDECENOATE,109-42-2,perfuming,
CAMELLIA SINENSIS LEAF POLYSACCHARIDE,,antimicrobial; antioxidant; astringent,
ISONONYL ALCOHOL,27458-94-2,perfuming,
NICOTINOYL SH-PENTAPEPTIDE-4,,bleaching; humectant; skin-conditioning; skin-protecting,
PINUS CEMBRA TWIG LEAF OIL,92202-04-5,perfuming,
CITRONELLAL DIMETHYL ACETAL,923-69-3,perfuming,
2-O-CRESYLETHANOL,19819-98-8,perfuming,
UNDECYL RHAMNOSIDE,,antiseborrhoeic,
PYRIDOXINE SALICYLATE,,antioxidant; astringent; skin-conditioning,
ETHYL O-ANISATE,7335-26-4,perfuming,
ANISOLE,100-66-3,perfuming,
PELARGONIUM ROSEUM LEAF EXTRACT,90082-55-6,perfuming,
KAZACHSTANIA/CITRUS JUNOS FRUIT EXTRACT FERMENT FILTRATE,,bleaching; skin-conditioning,
HEPTYLIDENE DIACETATE,56438-09-6,perfuming,
ETHYL 3-HYDROXYHEXANOATE,2305-25-1,perfuming,
FICUS BENGHALENSIS BARK/BUD EXTRACT,,preservative,
CITRUS PARADISI M. PEEL OIL EXPRESSED,90045-43-5,perfuming,
THUJOPSIS DOLABRATA LEAF EXTRACT,91722-39-3,perfuming,
TRANS-2-HEXENYL ISOVALERATE,68698-59-9,perfuming,
LACTOBACILLUS/LEDUM PALUSTRE/ARTEMISIA CAPILLARIS/HOUTTUYNIA CORDATA/SAURURUS CHINENSIS LEAF EXTRACT FERMENT FILTRATE,,antimicrobial; antioxidant; skin-conditioning,
TRICLOCARBAN,101-20-2,deodorant; preservative,
GERANYL HEXANOATE,10032-02-7,perfuming,
TRANS-2-HEXENYL HEXANOATE,53398-86-0,perfuming,
BETULA PUBESCENS TWIG EXTRACT,91745-85-6,perfuming,
METHYLCINNAMONITRILE,1197-33-7,perfuming,
M-CRESYL ACETATE,122-46-3,perfuming,
FARNESOL,4602-84-0,deodorant; perfuming,
P-CRESYL ISOBUTYRATE,103-93-5,perfuming,
RHODINYL ISOBUTYRATE,138-23-8,perfuming,
NONAN-2-ONE,821-55-6,perfuming,
BIFIDA/PANAX GINSENG ROOT CELL CULTURE EXTRACT FERMENT FILTRATE,,antimicrobial; antioxidant; astringent; hair-conditioning; nail-conditioning; oral-care; skin-conditioning; skin-protecting,
IRIS PSEUDACORUS ROOT EXTRACT,90045-91-3,perfuming,
TRIDECANAL,10486-19-8,perfuming,
CLOFLUCARBAN,369-77-7,antimicrobial; deodorant,
KLUYVEROMYCES/LACTOBACILLUS/CAMELLIA JAPONICA SEED OIL/CAMPHOR BARK EXTRACT FERMENT FILTRATE,,antimicrobial; antioxidant; bleaching; hair-conditioning; skin-conditioning,
MYRICA CERIFERA FRUIT/BARK EXTRACT,84929-34-0,astringent,
ARTEMISIA MARITIMA HERB OIL,89957-63-1,perfuming,
4-METHYL-7-GERANYLOXYCOUMARIN,50542-90-0,perfuming,
ISOPROPYL BENZOATE,939-48-0,perfuming; preservative,
CETEARTRIMONIUM CHLORIDE,68002-62-0,antistatic; hair-conditioning; preservative,
FERROUS SULFATE,7720-78-7,astringent,
TRANS-2-METHYL-4-PROPYL-1‚3-OXATHIANE,59324-17-3,perfuming,
CINNAMYL ISOVALERATE,140-27-2,perfuming,
CETETHYLDIMONIUM BROMIDE,124-03-8,antimicrobial; antistatic; emulsifying; surfactant,
LINALOOL DIHYDROEPOXIDE,1365-19-1,perfuming,
LEUCONOSTOC FERMENT FILTRATE,,antidandruff; antimicrobial; hair-conditioning; skin-conditioning,
FOENICULUM VULGARE CAPILLACEUM FRUIT OIL,92347-02-9,perfuming,
PHALAENOPSIS CHARM SUN BIG RED ROBE FLOWER EXTRACT,,antimicrobial; antioxidant; skin-conditioning; skin-protecting,
HELICHRYSUM ITALICUM FLOWER OIL,90045-56-0,masking; perfuming,
VETIVERIA ZIZANOIDES ROOT EXTRACT,84238-29-9,perfuming; skin-conditioning,
INDOLYL-TRIMETHYLINDOLE-1-HEPTANOL,67801-36-9,perfuming,
PINUS CEMBRA TWIG LEAF EXTRACT ACETYLATED,94334-26-6,perfuming,
SODIUM ISOBUTYLPARABEN,84930-15-4,antimicrobial,
ETHOXY-METHOXYMETHYL-PHENOL,5595-79-9,perfuming,
CONOBEA SCOPARIOIDES LEAF OIL,950903-91-0,masking; perfuming,
LAVANDULA ANGUSTIFOLIA FLOWER/LEAF/STEM EXTRACT,90063-37-9 / 84776-65-8,flavouring; masking; oral-care; perfuming; skin-conditioning,
DAMNACANTHUS MAJOR ADVENTITIOUS ROOT EXTRACT,,antimicrobial; antioxidant; humectant; skin-protecting,
ISOBUTYL ACETATE,110-19-0,perfuming; solvent,
3-ETHYL-2-METHYLNON-2-ENOIC ACID,71850-80-1,perfuming,
METHOXY-ISOPROPYL-METHYLCYCLOHEXENE,14576-08-0,perfuming,
CIS-3-HEXENYLOXYACETALDEHYDE,68133-72-2,perfuming,
LEVISTICUM OFFICINALE ROOT OIL,8016-31-7 / 84837-06-9,perfuming,
TRIMETHYL-2-CYCLOHEXENOL,470-99-5,perfuming,
HYDROLYZED RUMEX CRISPUS ROOT EXTRACT,,antimicrobial,
ASIATICOSIDE,16830-15-2,antioxidant; perfuming; skin-conditioning,
PPG-1/PEG-1 STEARAMINE,,antimicrobial,
HIPPOPHAE RHAMNOIDES CALLUS EXTRACT,,antimicrobial; antioxidant; hair-conditioning; humectant; skin-conditioning; skin-protecting,
SCHINOPSIS QUEBRACHO-COLORADO WOOD EXTRACT,,antioxidant; astringent; skin-conditioning,
LINALYL CINNAMATE,78-37-5,perfuming,
BENZYL TIGLATE,37526-88-8,perfuming,
CETRIMONIUM CHLORIDE,112-02-7,antimicrobial; antistatic; emulsifying; preservative; surfactant,
TULIPA GESNERIANA CALLUS CULTURE EXTRACT,,absorbent; antimicrobial; antioxidant; humectant,
EUCALYPTUS RADIATA LEAF/STEM OIL,92201-64-4,masking; perfuming,
SAPINDUS MUKOROSSI SEED OIL,,antimicrobial; emollient; humectant; skin-conditioning; skin-protecting,
CINNAMOMUM CASSIA LEAF EXTRACT,84961-46-6,perfuming,
SILVER ACETYLMETHIONATE,105883-46-3,antimicrobial,
THUJA OCCIDENTALIS STEM OIL,90131-58-1,perfuming,
RHODOBACTER SPHAEROIDES LYSATE EXTRACT,,bleaching,
TRANS-METHOXY-DIMETHYLOCTADIENE,2565-82-4,perfuming,
CITRUS AURANTIFOLIA PEEL OIL EXPRESSED,90063-52-8,perfuming,
VITIS VINIFERA/LABRUSCA STEM EXTRACT,,antiseborrhoeic; humectant; skin-protecting; solvent,
LAEVO-ROSE OXIDE,3033-23-6,perfuming,
CUPROUS IODIDE,7681-65-4,antimicrobial; deodorant,
STRONTIUM PEROXIDE,1314-18-7,bleaching; oxidising,
MELALEUCA ALTERNIFOLIA LEAF OIL,85085-48-9 / 8022-72-8 / 68647-73-4,antioxidant; perfuming,
CINNAMOMUM CAMPHORA FORMOSANA WOOD EXTRACT,92704-03-5,perfuming,
ISOPENTANAL,590-86-3,masking; perfuming,
ALUMINUM ZIRCONIUM TRICHLOROHYDRATE,98106-53-7,antiperspirant; astringent; deodorant,
TRANEXAMIC ACID,1197-18-8,astringent; skin-conditioning,
COUMARIN,91-64-5,perfuming,
TRIMETHYL-METHYLBUTENYL-BICYCLOHEPTAN-3-ONE,74499-58-4,perfuming,
EUCALYPTOL,470-82-6,denaturant; perfuming; tonic,
CITRUS LIMON CALLUS CULTURE EXTRACT,,antimicrobial; hair-conditioning; skin-conditioning; skin-protecting,
BOTRYCHIUM SCHAFFNERI EXTRACT,,antioxidant; antiseborrhoeic,
DENDROBIUM HUOSHANENSE LEAF/STEM EXTRACT,,bleaching,
AMBRETTOLIDE,7779-50-2,perfuming,
CHENOPODIUM AMBROSIOIDES LEAF EXTRACT,89997-47-7,masking; perfuming; skin-conditioning,
T-BUTYL ALCOHOL,75-65-0,denaturant; perfuming; solvent,
3‚4-DIETHOXYBENZALDEHYDE,2029-94-9,perfuming,
2-ETHYL-2-(3-METHYLBUT-2-ENYL)HEX-3-ENOL,85136-06-7,perfuming,
METHYLSULFINYLBUTYL PIPERIDINECARBOTHIOAMIDE,1350914-98-5,bleaching,
CINNAMOMUM CASSIA BARK WATER,,antimicrobial; antiseborrhoeic; astringent,
HEXYLCYCLOPENTANONE,13074-65-2,perfuming,
ACETYL HEXAMETHYL INDAN,15323-35-0,masking; perfuming,
DECAHYDRO-ISOPROPYL-DIMETHYL-PHENANTHRENE-1-METHANOL ACETATE,54200-50-9,perfuming,
3-(2-FURYL)ACRYLALDEHYDE,623-30-3,perfuming,
CAPSICUM CHINENSE FRUIT EXTRACT,,antimicrobial; antioxidant; astringent,
POPULUS TREMULOIDES BARK EXTRACT,90083-05-9,antiseborrhoeic; skin-conditioning,
OLIGOPEPTIDE-158 AMIDE,,antiseborrhoeic,
DIHYDROGERANYLIDENE-BIS-INDOLE,67801-16-5,perfuming,
ETHYL HEXANOATE,123-66-0,perfuming,
LAURTRIMONIUM TRICHLOROPHENOXIDE,,antimicrobial; antistatic,
TETRAMETHYL-5-OXATRICYCLODODECANE,1209-61-6,perfuming,
ALPHA-SANTALYL BUTYRATE,67633-99-2,perfuming,
SANTALUM AUSTROCALEDONICUM WOOD OIL,91845-48-6,flavouring; masking; perfuming,
BENZYLHEMIFORMAL,14548-60-8,preservative,
BUTYL CINNAMALDEHYDE,7492-44-6,perfuming,
PRUNUS MUME BUD EXTRACT,,bleaching; humectant,
HEXAHYDRO-METHANOINDEN-5-YL PIVALATE,68039-45-2,perfuming,
DODECAHYDROCYCLODODECAFURAN,40785-62-4,perfuming,
TANACETUM VULGARE FLOWER OIL,84961-64-8,perfuming,
TETRAHYDRO-PENTYLFURFURYL ACETATE,67634-08-6,perfuming,
CELESTOLIDE,13171-00-1,perfuming,
XYLITYL SESQUICAPRYLATE,181632-90-6,antimicrobial; humectant; preservative; skin-conditioning; surfactant,
RAPHANUS SATIVUS/TRIGONELLA FOENUM-GRAECUM/BRASSICA OLERACEA ITALICA SPROUT JUICE,,antimicrobial; antioxidant; skin-conditioning; skin-protecting,
P-ANISYL METHYL KETONE,122-84-9,perfuming,
BACILLUS/MONASCUS/MALLOTUS JAPONICUS LEAF/SOYBEAN FERMENT FILTRATE,,antiseborrhoeic; emollient; skin-conditioning,
ACACIA FARNESIANA GUM,9001-01-5,astringent; film-forming; viscosity-controlling,
CYMBIDIUM KANRAN EXTRACT,,antioxidant; astringent; emollient; skin-conditioning,
ORMENIS MULTICAULIS FLOWER OIL,92202-02-3,perfuming,
THIOGLYCERIN,96-27-5,depilatory; hair-waving-or-straightening; keratolytic; reducing,
ABIES BALSAMEA BALSAM EXTRACT,8007-47-4,perfuming,
BEE VENOM,,astringent; skin-protecting,
2-TERT-BUTYL-4-METHYL-CYCLOHEXANOL ACETATE,115724-27-1,perfuming,
CYMBIDIUM GOERINGII EXTRACT,,antioxidant; astringent; hair-conditioning; humectant; skin-conditioning; skin-protecting,
ASPERGILLUS/CAMELLIA SINENSIS LEAF FERMENT EXTRACT,,antimicrobial; antioxidant,
GUAIACUM OFFICINALE EXTRACT ACETYLATED-SULFATED,100298-95-1,perfuming,
METHYL DIMETHYL-CYCLOHEXENYLMETHYLENEAMINO-BENZOATE,68738-99-8,perfuming,
ROSA AMBASSADOR/ROSA PEACE PHYTOPLACENTA EXTRACT,,antimicrobial; antioxidant; hair-conditioning; humectant; skin-protecting,
OVOTRANSFERRIN,1391-06-6,antimicrobial; antiplaque; chelating; oral-care; preservative; skin-conditioning,
MYROCARPUS FRONDOSUS WOOD OIL,91722-94-0,perfuming,
LACTOBACILLUS/MAGNOLIA OBOVATA FERMENT FILTRATE,,bleaching,
UNDECYLENAMIDOPROPYLTRIMONIUM METHOSULFATE,94313-91-4,antimicrobial; antistatic; hair-conditioning,
ALPHA-ETHOXYPHENETOLE,5426-78-8,perfuming,
PHENETHYL PHENYLACETATE,102-20-5,perfuming,
CINNAMOMUM CAMPHORA LINALOOLIFERUM WOOD EXTRACT,91745-89-0,perfuming,
ALPHA-DAMASCONE,23726-94-5 / 43052-87-5,masking; perfuming,
2-PENTANOL,6032-29-7,perfuming,
BENZALDEHYDE PROPYLENEGLYCOL ACETAL,2568-25-4,perfuming,
P-MENTHANONE,10458-14-7,perfuming,
CINNAMOMUM CAMPHORA FORMOSANA WOOD OIL,92704-03-5,perfuming,
ETHYL SALICYLATE,118-61-6,perfuming,
