inci_name,cas_no,function,substance
ROSA MOSCHATA LEAF EXTRACT,,astringent,
P-TOLYL PHENYLACETATE,101-94-0,perfuming,
ASTER SPATHULIFOLIUS PHYTOPLACENTA EXTRACT,,antimicrobial; hair-conditioning; humectant; skin-conditioning; skin-protecting,
METHYL LINOLEATE,112-63-0,emollient; perfuming; skin-conditioning,
THYMUS SERPILLUM OIL,84776-98-7,perfuming,
P-TERT-BUTYL ACETOPHENONE,943-27-1,perfuming,
CARPINUS LAXIFLORA STEM EXTRACT,,antimicrobial; antioxidant; astringent; emollient,
3‚5-DIMETHYLCYCLOHEXENE-1-METHANOL,67634-16-6,perfuming,
ISOPROPYL CINNAMATE,7780-06-5,perfuming,
HYDROGENATED NEPETA CATARIA OIL,84929-35-1,antimicrobial,
COMMIPHORA GILEADENSIS BRANCH/FRUIT/LEAF EXTRACT,,antimicrobial; antioxidant; astringent; uv-filter,
ALPHA-TERPINENE,99-86-5,perfuming,
SH-OLIGOPEPTIDE-81 AMIDE,,antimicrobial; antiplaque; antiseborrhoeic; humectant; oral-care,
EVERNIA FURFURACEA LICHEN EXTRACT,90028-67-4 / 68648-41-9 / 68917-40-8,perfuming,
JUNIPERUS VIRGINIANA WOOD EXTRACT,85085-41-2,perfuming; tonic,
BUTYLQUINOLINE,53452-65-6,perfuming,
ALUMINUM CITRATE,813-92-3,antiperspirant; astringent; deodorant,
ANTRODIA CINNAMOMEA FERMENT FILTRATE POWDER,,antioxidant; bleaching; skin-conditioning; skin-protecting,
4-ETHYLGUAIACOL,2785-89-9,perfuming,
3-HEPTENYL ISOBUTYRATE,67801-45-0,perfuming,
LAURYL ISOQUINOLINIUM SACCHARINATE,,antimicrobial; antistatic,
PAULOWNIA IMPERIALIS BARK/FLOWER/LEAF EXTRACT,,astringent; hair-conditioning; skin-conditioning; soothing,
2-ETHYL-4-HYDROXY-5-METHYLFURAN-3(2H)-ONE,27538-10-9,perfuming,
PHENYLACETALDEHYDE GLYCERYL CYCLIC ACETALS,29895-73-6,perfuming,
HYPERICUM PERFORATUM PHYTOPLACENTA CULTURE EXTRACT,,antimicrobial; antioxidant; hair-conditioning; humectant,
LYSOPHOSPHATIDYLCHOLINYLCHLORIN E6,,antioxidant; antiseborrhoeic,
BACILLUS/NELUMBO NUCIFERA LEAF EXTRACT FERMENT FILTRATE,,antimicrobial; antioxidant,
3-BUTENYL PHENYL KETONE,3240-29-7,perfuming,
GUAIENE,88-84-6,perfuming,
CAPROIC ACID,142-62-1,cleansing; emulsifying; masking; perfuming; surfactant,
3-METHYLDODECANONITRILE,85351-07-1,perfuming,
AGRIMONIA EUPATORIA ROOT EXTRACT,84775-40-6,antioxidant; astringent,
COTINUS COGGYGRIA BRANCH/LEAF OIL,89997-96-6,flavouring; masking; perfuming,
ETHYL 2-METHYLBUTYRATE,7452-79-1,perfuming,
DELTA-DECALACTONE,705-86-2,masking; perfuming,
CINNAMOMUM CASSIA WOOD EXTRACT,84961-46-6,perfuming,
HEXAHYDRO-TETRAMETHYL-METHANONAPHTHALENE-8-METHANOL,61826-53-7,perfuming,
ETHYL PROPYL KETONE,589-38-8,perfuming,
BENZOIC ACID,65-85-0,bulking; masking; preservative,
DIMETHYLCYCLOHEXENYL METHYL KETONE,22463-19-0,perfuming,
RUBUS FRUTICOSUS FRUIT EXTRACT,84787-69-9,astringent; masking; tonic,
OCTENIDINE HCL,70775-75-6,antimicrobial,
ADIANTUM PEDATUM EXTRACT,165800-54-4,antidandruff; astringent,
CITRUS AURANTIUM BERGAMIA LEAF OIL,89957-91-5,astringent,
SULFUR,7704-34-9,antidandruff; antiseborrhoeic; antistatic; hair-conditioning; skin-conditioning,
CALCIUM SORBATE,7492-55-9,preservative,
DENDROPANAX MORBIFERUS PHYTOPLACENTA EXTRACT,,antimicrobial; antioxidant; hair-conditioning; skin-protecting,
BACILLUS/TAGETES PATULA FLOWER/SOYBEAN FERMENT FILTRATE,,antioxidant; antiseborrhoeic; skin-protecting,
TRIETHYLENE GLYCOL,112-27-6,masking; perfuming; viscosity-controlling,
CRATAEGUS OXYACANTHA STEM EXTRACT,84603-61-2 / 8057-51-0,antimicrobial,
ETHYL LINOLEATE,544-35-4,emollient; perfuming,
LINDERA UMBELLATA LEAF/TWIG OIL,,antimicrobial; emollient; masking; skin-conditioning,
SODIUM/ALUMINUM/IRON/SULFATE/CITRATE/HYDROXIDE,,antimicrobial; deodorant; humectant; opacifying; uv-absorber,
SODIUM MAGNESIUM SILVER PHOSPHATE,,antimicrobial,
CYCLOPENTANONE,120-92-3,perfuming,
2-ETHYL-3,27043-05-6,perfuming,
CALOPHYLLUM INOPHYLLUM SEED OIL,,antimicrobial; antioxidant; hair-conditioning; oral-care; skin-conditioning; uv-absorber,
ALUMINUM LACTATE,18917-91-4,astringent; buffering; deodorant,
SALVIA HISPANICA HERB EXTRACT,93384-40-8,perfuming,
PRENYL BENZOATE,5205-11-8,perfuming,
CYCLOHEXYLETHYL CROTONATE,68039-69-0,perfuming,
PINUS CEMBRA TWIG LEAF EXTRACT,92202-04-5,perfuming,
ISOAMYLBENZOATE,94-46-2,perfuming,
RHODOPSEUDOMONAS/PABA FERMENT,,bleaching; skin-conditioning,
CINNAMOMUM CAMPHORA LINALOOLIFERUM LEAF EXTRACT,91745-89-0,perfuming,
CYMBOPOGON WINTERIANUS HERB OIL,91771-61-8,perfuming,
TRIMETHYL-1-CYCLOHEXENYLACRYLONITRILE,72214-33-6,perfuming,
3-ETHYL-2-HYDROXY-4-METHYLCYCLOPENT-2-EN-1-ONE,42348-12-9,perfuming,
4-FORMYL-2-METHOXYPHENYL ISOBUTYRATE,20665-85-4,perfuming,
ISOPROPYLCHROMENAMIDO FLUOROBENZYL METHANESULFONAMIDE,,antioxidant; bleaching; skin-protecting,
OCIMENE,13877-91-3,perfuming,
ETHYL LACTATE,97-64-3,perfuming; solvent,
SACCHAROMYCES/ACANTHOPANAX SESSILIFLORUS EXTRACT FERMENT FILTRATE,,antimicrobial; antioxidant; hair-conditioning; humectant; skin-protecting,
MYRICA CERIFERA BARK EXTRACT,84929-34-0,astringent,
ISOBUTYL HEXANOATE,105-79-3,perfuming,
MUCOR MIEHEI EXTRACT,,astringent,
AMYL PHENYLACETATE,5137-52-0,perfuming,
UNDECYLENETH-6,,antidandruff; antimicrobial; emulsifying; surfactant,
NONANAL,124-19-6,perfuming,
TETRAHYDRO-2-ISOBUTYL-4-METHYL-2H-PYRAN,13477-62-8,perfuming,
MELOZONE,30772-79-3,perfuming,
MANICOUAGAN CLAY,,absorbent; astringent; surfactant,
2-TRANS,67674-47-9,perfuming,
PIMENTA RACEMOSA FRUIT LEAF EXTRACT,85085-61-6,perfuming,
SCLAREOL,515-03-7,perfuming,
MENAQUINONE-7,2124-57-4,antiseborrhoeic; astringent; bleaching; skin-protecting; uv-filter,
SILENE URALENSIS CALLUS CULTURE EXTRACT,,antimicrobial; antioxidant; hair-conditioning; skin-protecting,
2-CYCLOHEXENYL CYCLOHEXANONE,1502-22-3,perfuming,
SODIUM BENZOATE,532-32-1,anticorrosive; masking; preservative,
BUTENYL ISOAMYLOXYACETATE,72894-11-2,perfuming,
TRANS-2-HEXENYL BUTYRATE,53398-83-7,perfuming,
VINYLPYRIDINE/TETRAHYDRODIMETHYL-METHANO-INDENE,125352-06-9,perfuming,
PHENYL SALICYLATE,118-55-8,antimicrobial; denaturant; perfuming,
DIHEXYL FUMARATE,19139-31-2,perfuming,
JASMINUM SAMBAC LEAF CELL EXTRACT,91770-17-8,flavouring; masking; perfuming; skin-protecting,
ASPERGILLUS/THYME/ROOT/LYSIMACHIA FOENUM-GRAECUM/PORIA COCOS/ATRACTYLODES JAPONICA RHIZOME/ MAGNOLIA LILIFLORA BUD/ VITEX TRIFOLIA FRUIT/BAMBUSA VULGARIS LEAF/STEM FERMENT FILTRATE,,antimicrobial,
ALUMINUM SESQUICHLOROHYDREX PG,245090-60-2,antiperspirant; astringent; deodorant,
3‚5-DIMETHYL-3-CYCLOHEXENE-1-CARBALDEHYDE,68039-48-5,perfuming,
MAULOUTCHIA HUMBLOTII SEED BUTTER,,antimicrobial; hair-conditioning; humectant; skin-conditioning; skin-protecting,
MYRISTAMIDOPROPALKONIUM CHLORIDE,15809-19-5,antidandruff; antimicrobial; antiplaque,
METHYL VALERATE,624-24-8,perfuming,
ROSA CANINA FLOWER EXTRACT,84696-47-9,astringent,
ENDO-1‚2,28462-85-3,perfuming,
ETHYL METHYLBUTYL KETOXIME,22457-23-4,masking; perfuming,
NEPETA CATARIA FLOWER EXTRACT,84929-35-1,perfuming,
METHYL HEXYL CYCLOPENTANONE CARBOXYLATE,37172-53-5,perfuming,
DITHIOMETHYLBENZAMIDE,2527-58-4,antimicrobial,
BENZHYDROL,91-01-0,perfuming,
ANIBA ROSAEODORA WOOD EXTRACT,83863-32-5,masking; perfuming,
ETHYL ISOBUTYRATE,97-62-1,perfuming,
METHYL-ISOPROPYLCYCLOHEXANOL,21129-27-1,perfuming,
JUNIPERUS COMMUNIS FRUIT OIL,8002-68-4 / 73049-62-4 / 84603-69-0,masking; perfuming,
PINUS SPECIES TWIG LEAF EXTRACT,94266-48-5,perfuming,
SALVIA TRILOBA LEAF EXTRACT,85085-68-3,antimicrobial; astringent; oral-care,
ANACARDOYL TRIPEPTIDE-1,,antioxidant; bleaching; skin-protecting,
DIMETHYLBUTYL CROTONATE,35206-51-0,perfuming,
GERANYL ACETOACETATE,10032-00-5,perfuming,
AMYLCYCLOPENTANONE,4819-67-4,perfuming,
P-METHYLHYDROCINNAMIC ALDEHYDE,5406-12-2,perfuming,
ROSA DAMASCENA CALLUS,,antimicrobial; antioxidant; antiseborrhoeic; hair-conditioning; skin-protecting,
DIMETHYLTETRAHYDRO BENZALDEHYDE,68737-61-1,perfuming,
BACILLUS/MONASCUS/PSILOTUM NUDUM LEAF/RICE BRAN FERMENT FILTRATE,,antiplaque; antiseborrhoeic; emollient; oral-care; skin-protecting,
RUTA GRAVEOLENS HERB OIL,84929-47-5,perfuming,
CITRUS LIMON LEAF OIL,92346-89-9 / 84929-31-7,masking; perfuming,
TERT-BUTYL ISOPENT-2-ENTHIOATE,34322-09-3,perfuming,
MENTHA SPICATA HERB EXTRACT,84696-51-5,perfuming,
MYRTENAL,564-94-3,perfuming,
ISOEUGENOL,97-54-1,flavouring; perfuming,
THALASSIOSIRA PSEUDONANA FERMENT FILTRATE,,bleaching; skin-conditioning,
CEDRUS ATLANTICA BARK EXTRACT,92201-55-3,perfuming; skin-conditioning,
JUNIPERUS VIRGINIANA EXTRACT OXIDIZED,91722-62-2,perfuming,
SODIUM METABISULFITE,7681-57-4 / 7757-74-6,antioxidant; preservative; reducing,
ISOPROPYL-METHOXYPYRAZINE,25773-40-4,perfuming,
CAMELLIA OLEIFERA LEAF EXTRACT,94333-93-4,astringent; skin-conditioning,
TETRAHYDRO-P-CRESYLOXYPYRAN,13481-09-9,perfuming,
P-ANISYL BUTYRATE,6963-56-0,perfuming,
TIOXOLONE,4991-65-5,astringent,
CINNAMOMUM CASSIA BARK/SYZGIUM AROMATICUM BUD/ROSMARINUS OFFICINALIS LEAF/THYMUS VULGARIS LEAF OIL,,antimicrobial; antioxidant; antiplaque; antiseborrhoeic,
2‚3-DIMETHYL-2-NONENENITRILE,53153-67-6,perfuming,
CITRAL ETHYLENEGLYCOL CYCLIC ACETAL,66408-78-4,perfuming,
ETHOXY-P-CRESOL,2563-07-7,perfuming,
NONYL ACETATE,143-13-5,emollient; perfuming,
BIOTIN,58-85-5,antiseborrhoeic; hair-conditioning; skin-conditioning,
PAULLINIA CUPANA FRUIT POWDER,84929-28-2,astringent,
LACTOBACILLUS/PERILLA FRUTESCENS LEAF FERMENT EXTRACT FILTRATE,,antimicrobial; antioxidant,
GENIPA AMERICANA FRUIT JUICE,,masking; perfuming,
DIBENZYL ETHER,103-50-4,perfuming,
2-NONYLCROTONALDEHYDE,6720-16-7,perfuming,
CIS-3-HEXENYL LACTATE,61931-81-5,perfuming,
MALUS BACCATA PHYTOPLACENTA CULTURE EXTRACT,,antimicrobial; antioxidant; skin-conditioning; skin-protecting,
ISOAMYL BUTYRATE,106-27-4,perfuming,
DIHYDROOCIMENYL FORMATE,25279-09-8,perfuming,
CIS-3-HEXENYL ANTHRANILATE,65405-76-7,perfuming,
LOPHOPHYTUM ELONGATUM EXTRACT,,bleaching; skin-conditioning,
OCIMUM GRATISSIMUM HERB OIL,91770-38-6,perfuming,
CISTUS LADANIFERUS TWIG OIL,89997-74-0,perfuming,
ISOPROPYL CYCLOHEXYLPROPIONATE,63449-95-6,masking; perfuming,
TRIMETHYL-1-CYCLOHEXENYLBUTANE-1‚3-DIONE,39900-12-4,perfuming,
2‚4-DIMETHYLPYRIDINE,108-47-4,perfuming,
HEPTYL FORMATE,112-23-2,perfuming,
ISOMETHYL-BETA-IONONE,79-89-0,perfuming,
HEPTANOIC ACID,111-14-8,perfuming,
OLEYL ALCOHOL,143-28-2 / 593-47-5,emollient; masking; perfuming; solvent; viscosity-controlling,
HEXADECENYL STEARYLSUCCINAMIDE,,bleaching; emollient; humectant; skin-conditioning; skin-protecting,
ALLYL HEPTANOATE,142-19-8,perfuming,
LYCIUM CHINENSE FRUIT/ROOT EXTRACT,,bleaching; skin-conditioning,
MENTHA SPICATA CRISPATA HERB OIL,91770-68-2,perfuming,
LAVANDULA ANGUSTIFOLIA PHYTOPLACENTA EXTRACT,,antimicrobial; astringent; hair-conditioning; skin-conditioning; skin-protecting,
R-PORCINE POLYPEPTIDE-1,,astringent; humectant; skin-conditioning,
ETHOXYDIGLYCOL,111-90-0,humectant; perfuming; solvent,
SMITHSONITE,3486-35-9 / 14476-25-6,astringent,
BUTYLDIHYDRODIMETHYLPYRAN,24237-00-1,perfuming,
ETHYL BETA-NAPHTHYL ETHER,93-18-5,perfuming,
HEXENYL ACETATE,3681-71-8 / 2497-18-9,flavouring; masking; perfuming,
PROROCENTRUM MICANS CELL EXTRACT,,antimicrobial; antioxidant; hair-conditioning; skin-conditioning,
3-METHYL-1-PHENYL-3-HEXENE 1‚5-EPOXIDE,68039-41-8,perfuming,
DECYL METHYL ETHER,7289-52-3,perfuming,
DIMETHYL PHENYLETHYL CARBINYL ACETATE,103-07-1,perfuming,
BETULA ERMANII STEM EXTRACT,,antidandruff; antioxidant; astringent; hair-conditioning; skin-protecting,
CEDRYL FORMATE,39900-38-4,perfuming,
BACILLUS/LACTOBACILLUS/STREPTOCOCCUS THERMOPHILUS/ALPINIA SPECIOSA LEAF EXTRACT FERMENT FILTRATE,,antioxidant; astringent; bleaching; skin-conditioning,
NOOTKATONE,4674-50-4,perfuming,
CHLORINE DIOXIDE,10049-04-4,antimicrobial; deodorant,
CYCLOHEXYLETHYL ACETATE,13487-27-9,masking; perfuming,
2-ETHYLIDENEDECANAL,64825-20-3,perfuming,
AMYL FORMATE,638-49-3,perfuming,
LAEVO-CARVYL ACETATE,1205-42-1,perfuming,
8-CEDRENE EPOXIDE,13567-39-0,perfuming,
RIBES NIGRUM BUD OIL,68606-81-5,perfuming,
AMYLCINNAMYL ALCOHOL,101-85-9,perfuming,
OCTAHYDRO-TETRAMETHYL-1-NAPHTHALENOL,103614-86-4,perfuming,
RUBUS VILLOSUS FRUIT EXTRACT,93165-71-0,astringent; tonic,
CITRUS MEDICA ACIDA PEEL EXTRACT,93685-55-3,perfuming,
ETHYL TERT-BUTYL-PHENYL-METHYLENE-AMINOBENZOATE,94108-09-5,perfuming,
PIPERONYL ACETONE,55418-52-5,perfuming,
ALDIOXA,5579-81-7,antimicrobial; astringent,
TRIMETHYLCYCLOHEXENE-1-METHANOL,72812-40-9,perfuming,
ETHYL 3-PHENYLGLYCIDATE,121-39-1,perfuming,
KLUYVEROMYCES/LACTOBACILLUS/PINUS KORAIENSIS SEED FERMENT OIL FILTRATE,,antioxidant; bleaching; skin-conditioning; skin-protecting,
TETRAHYDRONAPHTHALENOL,529-33-9,perfuming,
OLIGOPEPTIDE-101 AMIDE,,antimicrobial; antioxidant; antiseborrhoeic; skin-protecting,
METHYLSELENO CARBOXYPROPYLGLUTAMINE,879546-05-1,antimicrobial; hair-conditioning; skin-conditioning; skin-protecting,
PROPYLIDENE PHTHALIDE,17369-59-4,perfuming,
AMYL BENZOATE,2049-96-9,masking; perfuming,
CAPRYLYL GLYCOL LINSEEDATE,,antimicrobial,
HYDRATROPIC ALDEHYDE DIMETHYL ACETAL,90-87-9,perfuming,
ITRACONAZOLE,84625-61-6,antimicrobial,
ORYZA SATIVA BRAN WATER,90106-37-9,masking; perfuming,
ZINGIBER OFFICINALE ROOT OIL,8007-08-7,masking; perfuming; skin-conditioning; tonic,
PHASEOLUS VULGARIS PHYTOPLACENTA EXTRACT,,antimicrobial; antioxidant; skin-protecting,
PHENETHYL PROPIONATE,122-70-3,perfuming,
METHYL LACTATE,27871-49-4 / 547-64-8,flavouring; perfuming; solvent,
BETA-METHYL-CYCLODODECANEETHANOL,118562-73-5,perfuming,
AZELAMIDOPROPYL DIMETHYL AMINE,1272659-40-1,antimicrobial; antiseborrhoeic; skin-conditioning,
