inci_name,cas_no,function,substance
Aspergillushippophae Rhamnoides Seed Ferment Filtrate,,antioxidant; humectant; skin-conditioning,aspergillus/hippophae rhamnoides seed ferment filtrate
Erythrodiol,545-48-2,antioxidant; skin-conditioning,(+)-Erythrodiol
Dihydrolanosterol,79-62-9,emulsifying; emulsion-stabilising; skin-conditioning,Dihydrolanosterol
Dipentaerythrityl Hexahydroxystearate,,emulsifying; skin-conditioning; smoothing; viscosity-controlling,dipentaerythrityl hexahydroxystearate
Oxidized Starch Acetate,68187-08-6,skin-conditioning,oxidized starch acetate
Pakau White Clay,,humectant; skin-conditioning,pakau white clay
Sapindus Mukorossi Peel Extract,,skin-conditioning,sapindus mukorossi peel extract
Magnesium Glucoheptonate,74347-32-3,skin-conditioning,Magnesium di(D-glycero-D-gulo-heptonate)
Saccharomycessoybean Extract Filtrate Ferment,,antioxidant; skin-protecting,saccharomyces/soybean extract filtrate ferment
Sh-Decapeptide-1 Sh-Polypeptide-2,,skin-conditioning,sh-decapeptide-1 sh-polypeptide-2
Fragaria Chiloensis Fruit Extract,95193-64-9,skin-conditioning,fragaria chiloensis fruit extract
Beta-Alanyl Hydroxyprolyldiaminobutyroyl Benzylamide,1694678-27-7,skin-conditioning,beta-alanyl hydroxyprolyldiaminobutyroyl benzylamide
Triacontanyl Pvp,136445-69-7,film-forming; humectant; viscosity-controlling,triacontanyl pvp
Ormenis Multicaulis Flower Cera,92202-02-3,emollient,ormenis multicaulis flower cera
Hydrogenated Sodium Cyclic Lysophosphatidic Acid,,skin-conditioning,hydrogenated sodium cyclic lysophosphatidic acid
Cetyl Dimethyloctanoate,,emollient; skin-conditioning,cetyl dimethyloctanoate
Hypericum Perforatum Flowerleaf Extract,84082-80-4,skin-conditioning,hypericum perforatum flower/leaf extract
Hydrolyzed Brassica Napus Seedcake Extract,,skin-conditioning,hydrolyzed brassica napus seedcake extract
Tilia Europaea Flowerleaf Extract,,skin-conditioning,tilia europaea flower/leaf extract
Ethoxydiglycol Isostearate,,emollient,ethoxydiglycol isostearate
R-Mussel Oligopeptide-1,,skin-conditioning,r-mussel oligopeptide-1
Sh-Nonapeptide-1,,skin-conditioning,sh-nonapeptide-1
Kurumi Kaku Ekisu,,skin-conditioning,kurumi kaku ekisu
Sh-Polypeptide-41,,skin-conditioning,sh-polypeptide-41
Sodium Pca Methylsilanol,99035-50-4,humectant; skin-conditioning,"sodium 5-oxo-L-prolinate, compound with methylsilanetriol (1:1)"
Medicago Sativa Oil Unsaponifiables,224557-89-5 / 84082-36-0,skin-conditioning,medicago sativa oil unsaponifiables
Undaria Peterseniana Extract,,skin-conditioning,undaria peterseniana extract
Octyldodecyl Ethylhexanoate,69275-04-3,emollient,2-Octyldodecyl 2-ethylhexanoate
Eustoma Grandiflorum Extract,,antioxidant; skin-conditioning,eustoma grandiflorum extract
Coleus Forskohlii Flower Extract,,skin-conditioning,coleus forskohlii flower extract
Aralia Elata Root Extract,,skin-conditioning,aralia elata root extract
Oligopeptide-48,,skin-conditioning,oligopeptide-48
Acetyl Hexapeptide-38,,skin-conditioning,acetyl hexapeptide-38
